orig_type,n_cells,support_score,support_category,mapped_st_cluster
B cells,217,0.6678492851603025,weak,cluster_23
Dendritic cells,98,0.7639831427498857,strong,cluster_23
Endothelial cells,233,0.7588214270770623,strong,cluster_8
Epithelial cells,294,0.8003981705515232,strong,cluster_27
Fibroblasts,237,0.8532067664804365,strong,cluster_15
Monocytes and Macrophages,382,0.8260389321860684,strong,cluster_25
NK cells,451,0.6856178117262726,weak,cluster_23
PCs,225,0.6339934277750207,weak,cluster_26
PVL,172,0.7832702903696199,strong,cluster_18
T cells CD4,456,0.6999774452653814,weak,cluster_23
T cells CD8,457,0.6911860704224492,weak,cluster_23
