record_id	source_authority	source_type	url	accessed_date	supports_fields	status	notes
LR01_KIDNEY	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/adult-mouse-kidney-ffpe-1-standard-1-3-0	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 1 of 2 for this record.
LR01_KIDNEY	Official DOI/publisher	official database/provider/publisher page	https://cellxgene.cziscience.com/e/42bb7f78-cef8-4b0d-9bba-50037d64d8c1.cxg/	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 2 of 2 for this record.
LR02_BRAIN	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/preservation-method-comparison-on-visium-cytassist-ffpe-mouse-brain-sagittal-11-mm-capture-area-2-standard	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 1 of 2 for this record.
LR02_BRAIN	EMBL-EBI	official database/provider/publisher page	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-11115	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 2 of 2 for this record.
LR03_BRCA_FFPE	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/human-breast-cancer-ductal-carcinoma-in-situ-invasive-carcinoma-ffpe-1-standard-1-3-0	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 1 of 2 for this record.
LR03_BRCA_FFPE	Zenodo	official database/provider/publisher page	https://zenodo.org/records/17008296	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 2 of 2 for this record.
LR04_BRCA_FF	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/human-breast-cancer-visium-fresh-frozen-whole-transcriptome-1-standard	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 1 of 2 for this record.
LR04_BRCA_FF	Zenodo	official database/provider/publisher page	https://zenodo.org/records/17008296	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 2 of 2 for this record.
LR05_BRCA_ILC	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/human-breast-cancer-whole-transcriptome-analysis-1-standard-1-2-0	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 1 of 2 for this record.
LR05_BRCA_ILC	Zenodo	official database/provider/publisher page	https://zenodo.org/records/17008296	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 2 of 2 for this record.
LR06_CERVICAL	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/human-cervical-cancer-1-standard	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 1 of 4 for this record.
LR06_CERVICAL	EMBL-EBI	official database/provider/publisher page	https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-10287	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 2 of 4 for this record.
LR06_CERVICAL	Zenodo	official database/provider/publisher page	 https://zenodo.org/records/17008269	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 3 of 4 for this record.
LR06_CERVICAL	Zenodo	official database/provider/publisher page	 https://zenodo.org/records/17008296	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 4 of 4 for this record.
LR07_HEART	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/human-heart-1-standard-1-1-0	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 1 of 3 for this record.
LR07_HEART	Official DOI/publisher	official database/provider/publisher page	https://ega-archive.org/studies/EGAS00001006374	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 2 of 3 for this record.
LR07_HEART	Zenodo	official database/provider/publisher page	 https://zenodo.org/records/17010276	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	CONFIRMED	Source 3 of 3 for this record.
LR08_INTESTINE	10x Genomics	official database/provider/publisher page	https://www.10xgenomics.com/datasets/human-intestine-cancer-1-standard	2026-07-22	dataset identity, platform, sample/accession, publication, or access route	PARTIAL	Source 1 of 5 for this record.
