check_id	panel	reported_quantity	expected_value	source_value	match	source_path	source_sha1	row_selector	column_selector	notes
C2B001	Fig. 2b	CytoSPACE Peak ES	direct recomputation	0.064410337138	true	result/real_profile_mask_foundation/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/spot_foundation.csv	2118d5d5022c3f4031de5f1e0ba6e3f367521f43	all 8,470 spots; rank by masked_support_norm	baseline_reconstructed_score	bottom-decile hit count=847
C2B002	Fig. 2b	SVTuner Peak ES	direct recomputation	0.074773711137	true	result/real_profile_mask_foundation/ffpe_mouse_brain_sagittal_real_profile_mask_microglia/spot_foundation.csv	2118d5d5022c3f4031de5f1e0ba6e3f367521f43	all 8,470 spots; rank by masked_support_norm	route2_reconstructed_score	bottom-decile hit count=847
C2C001	Fig. 2c	CytoSPACE mean NES	1.3458	1.3458	true	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	77aaf34b35dde53837b0c47b8ed313bb566a3a85	method=CytoSPACE; n=12	nes	
C2C002	Fig. 2c	SVTuner mean NES	1.5322	1.5322	true	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	77aaf34b35dde53837b0c47b8ed313bb566a3a85	method=SVTuner + CytoSPACE; n=12	nes	
C2C003	Fig. 2c	paired higher count	11/12	11/12	true	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	77aaf34b35dde53837b0c47b8ed313bb566a3a85	pair_id x cell_type	nes	
C2C004	Fig. 2c	formal/fallback table identity	77aaf34b35dde53837b0c47b8ed313bb566a3a85	77aaf34b35dde53837b0c47b8ed313bb566a3a85	true	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	77aaf34b35dde53837b0c47b8ed313bb566a3a85	entire file	all columns	The visualizations and result copies are byte-identical.
C2C005	Fig. 2c	1000-permutation P-value lattice	max error < 1e-10	1.137e-13	true	visualizations/cytospace_fig2d_profile_mask_benchmark/fig2d_profile_mask_benchmark_source_values.csv	77aaf34b35dde53837b0c47b8ed313bb566a3a85	all 48 rows	pval	Every P value is an integer multiple of 1/1001.
C2D001	Fig. 2d	CytoSPACE NES	2.17	2.171340694744	true	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	f2a485d3ae7c482feff851b6a72f87ef7648d78f	display_method=CytoSPACE	NES	
C2D002	Fig. 2d	SVTuner NES	2.52	2.523755126438	true	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	f2a485d3ae7c482feff851b6a72f87ef7648d78f	display_method=SVTuner + CytoSPACE	NES	
C2D003	Fig. 2d	CytoSPACE permutation P	0.0010	0.000999000999	true	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	f2a485d3ae7c482feff851b6a72f87ef7648d78f	display_method=CytoSPACE	pval	
C2D004	Fig. 2d	SVTuner permutation P	0.0010	0.000999000999	true	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	f2a485d3ae7c482feff851b6a72f87ef7648d78f	display_method=SVTuner + CytoSPACE	pval	
C2D005	Fig. 2d	recorded backend	python_permutation_gsea	python_permutation_gsea	true	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	f2a485d3ae7c482feff851b6a72f87ef7648d78f	both rows	backend	
C2D006	Fig. 2d	recorded permutations	1000	1000	true	visualizations/cytospace_fig2c_melanoma_stage3_profile_mask/fig2c_cd4_ce9_stage3_detected_macrophage_mask_metrics.csv	f2a485d3ae7c482feff851b6a72f87ef7648d78f	both rows	nperm	
C2D007	Fig. 2d	formal baseline/upstream field identity	all 15 upstream fields match	true	true	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/baseline/fig2c_official_enrichment_summary.csv	56678e60e4f59a75cce9482b36824a0c03b42f23	single baseline row	all columns	Compared after CSV parsing; the formal table adds display_method only.
C2D008	Fig. 2d	formal route/upstream field identity	all 15 upstream fields match	true	true	result/cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages/fig2c_strict_cd4_ce9/route2/fig2c_official_enrichment_summary.csv	a05ce60de62b5656059f24cd58946665afca16ab	single route row	all columns	Compared after CSV parsing; the formal table adds display_method only.
C2F000	Fig. 2f	retained candidate rows	120	120	true	result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	29bd3bc3fcb152ea4022ca8abe38648f206e3085	entire table	all columns	Six scenarios x two methods x five cell types x two programs.
C2F001	Fig. 2f	valid paired readouts	50	50	true	result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	29bd3bc3fcb152ea4022ca8abe38648f206e3085	scenario x cell_type x feature with both methods non-missing	NES	
C2F002	Fig. 2f	SVTuner higher	28/50	28/50	true	result/cytospace_fig2e_stage3_profile_mask/fig2e_stage3_profile_mask_metrics.csv	29bd3bc3fcb152ea4022ca8abe38648f206e3085	50 paired valid readouts	NES	
