record_type	record_id	record_family	source_layer	redistribution_class	provider_permission_status	public_package_action	evidence_paths
dataset	CTA01_BCSA2TUMB1	CTA biological application	PROJECT_GENERATED_ENDPOINT_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Release project derivative only; preserve source attribution.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/cta_metadata_recovery.tsv
dataset	EXT01_MEL1	downstream external tumour pairings	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	EXT02_MEL2	downstream external tumour pairings	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	EXT03_BRCA_V1	downstream external tumour pairings	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	EXT04_BRCA_FFPE	downstream external tumour pairings	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	EXT05_TNBC	downstream external tumour pairings	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	EXT06_CRC	downstream external tumour pairings	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	LR01_KIDNEY	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	LR02_BRAIN	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	LR03_BRCA_FFPE	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
dataset	LR04_BRCA_FF	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
dataset	LR05_BRCA_ILC	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
dataset	LR06_CERVICAL	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
dataset	LR07_HEART	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	RESTRICTED	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	LR08_INTESTINE	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/heca_reference_lineage_audit.tsv
dataset	LR09_LYMPH_NODE	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	LR10_EMBRYO	low-resolution profile masking	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	MERS01_BREAST	high-resolution MERSCOPE profile masking	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
dataset	MERS02_COLON	high-resolution MERSCOPE profile masking	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
dataset	MERS03_LUNG	high-resolution MERSCOPE profile masking	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
dataset	MERS04_MELANOMA1	high-resolution MERSCOPE profile masking	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
dataset	MERS05_MELANOMA2	high-resolution MERSCOPE profile masking	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED	Do not bundle provider raw files.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/vizgen_release_evidence.tsv
dataset	RD01_EMBRYO_ENDODERM	real reference dropout	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Release project derivative only; preserve source attribution.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	RD02_EMBRYO_ERYTHROID	real reference dropout	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Release project derivative only; preserve source attribution.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
dataset	RD03_TNBC_PLASMA	real reference dropout	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Release project derivative only; preserve source attribution.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/minor_spatial_metadata_audit.tsv
dataset	RD04_CRC_B	real reference dropout	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Release project derivative only; preserve source attribution.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/minor_spatial_metadata_audit.tsv
dataset	RD05_BRCA_FFPE_PLASMA	real reference dropout	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	BOUNDED_BY_RECORDED_SOURCE_TERMS	Release project derivative only; preserve source attribution.	visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv;visualizations/manuscript_audits/dataset_provenance_major_evidence_recovery/dataset_manifest_draft_v0_2.tsv
