record_id	asset_class	relative_path	filename	file_extension	byte_size	sha1	release_status	redistribution_class	formal_role	linked_figure_or_analysis	source_or_generator	notes
T4H-0001	DOCUMENTATION	reproducibility_release/release_candidate_v1.0/README.md	README.md	.md	533	723389d41bc03e6e3f8237f06a15ff38607d185b	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	release-candidate scope and bootstrap instructions	Task 4H release candidate	scripts/run_task4h_release_candidate_audit.py	Task 4H generated candidate documentation.
T4H-0002	DOCUMENTATION	reproducibility_release/release_candidate_v1.0/reconstruction/README.md	README.md	.md	559	b975c4302977ffa60e7302fcb1852a49eec384dc	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	third-party acquisition and reconstruction boundary	Task 4H release candidate	scripts/run_task4h_release_candidate_audit.py	Task 4H generated candidate documentation.
T4H-0003	DOCUMENTATION	reproducibility_release/release_candidate_v1.0/environments/environment_limitations.md	environment_limitations.md	.md	481	3ae96c86647220e693e63240493fd0dd25547216	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	bounded formal environment limitations	Task 4H release candidate	scripts/run_task4h_release_candidate_audit.py	Task 4H generated candidate documentation.
T4H-0004	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/export_simulation_stage3ab_joint_overview.py	export_simulation_stage3ab_joint_overview.py	.py	20472	413cfc3b213b3b27896af51b8b3f51ef92ac2bf2	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: simulation Stage3A/Stage3B triptych panels and scenario results; outputs: simulation_stage3ab_joint_triptych_overview_stack_3datasets.svg/png	Fig. 1C	scripts/export_simulation_stage3ab_joint_overview.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0005	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_method_comparison_composition_recovery.py	plot_method_comparison_composition_recovery.py	.py	19303	86fc034b4ce2e0dbcb88613ed62d002e4b459f96	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: nine-scenario mapping outputs and simulation truth; outputs: composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_boxplot.png/pdf	Fig. 1D (0% noise)	scripts/plot_method_comparison_composition_recovery.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0006	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_composite_scnoise10_stage3ab_full.py	run_composite_scnoise10_stage3ab_full.py	.py	395	270ed643444542f6ded7a1fe32843d6411c44ad6	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: 10% noisy-reference Stage3A/Stage3B outputs and retained six-method mappings; outputs: fig1d_scnoise10_stage3ab_full.png/pdf and source tables	Fig. 1D (10% noise)	scripts/run_composite_scnoise10_stage3ab_full.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0007	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_real_profile_mask_fig2c_only.py	plot_real_profile_mask_fig2c_only.py	.py	4873	8867d0b68dfd44d34d5e15b3502dc1014cab7942	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: spot_foundation.csv; outputs: fig2_panel_c_real_profile_mask.png/pdf	Fig. 2B	scripts/plot_real_profile_mask_fig2c_only.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0008	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_fig2d_profile_mask_benchmark.py	plot_fig2d_profile_mask_benchmark.py	.py	6949	4aea32d696bd5f87cf5e1f9019671c61e3bf0c07	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: fig2d_profile_mask_benchmark_source_values.csv; outputs: fig2d_profile_mask_benchmark.png/pdf	Fig. 2C	scripts/plot_fig2d_profile_mask_benchmark.py	format=mixed;retention=RECOVERED_FROM_LOCAL_GIT_AND_HASH_VERIFIED
T4H-0009	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_real_profile_mask_expression_recovery.py	plot_real_profile_mask_expression_recovery.py	.py	4218	c0c2dfd0c00363d85ac326153d9c2fa614d3c48a	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: expression_recovery_by_scenario.csv and expression_recovery_long.csv; outputs: expression_recovery_cosine_summary_bar.png/pdf	Fig. 2D	scripts/plot_real_profile_mask_expression_recovery.py	format=mixed;retention=DIRECTLY_RETAINED
T4H-0010	FIGURE_SCRIPT	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/build_fig2e_stage3_profile_mask_route2_only.py	build_fig2e_stage3_profile_mask_route2_only.py	.py	6929	d820257f6044b0d75de6705843b72dd27c0cc434	INCLUDED_RELEASE_CANDIDATE	REDISTRIBUTABLE	formal panel generator; expected inputs: fig2e_stage3_profile_mask_metrics.csv; outputs: fig2e_stage3_profile_mask_route2_ce9_ce10.png/pdf	Fig. 2F	scripts/build_fig2e_stage3_profile_mask_route2_only.py	format=mixed;retention=DIRECTLY_RETAINED
