record_id	relative_path	sha1	byte_size	figure_panels	expected_source_value_inputs	output_filenames	output_format	retention_status	candidate_path
FIGSCRIPT-001	scripts/export_simulation_stage3ab_joint_overview.py	413cfc3b213b3b27896af51b8b3f51ef92ac2bf2	20472	Fig. 1C	simulation Stage3A/Stage3B triptych panels and scenario results	simulation_stage3ab_joint_triptych_overview_stack_3datasets.svg/png	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/export_simulation_stage3ab_joint_overview.py
FIGSCRIPT-002	scripts/plot_method_comparison_composition_recovery.py	86fc034b4ce2e0dbcb88613ed62d002e4b459f96	19303	Fig. 1D (0% noise)	nine-scenario mapping outputs and simulation truth	composition_recovery_7mapping_methods_composite_no_noise_abstention_aware_boxplot.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_method_comparison_composition_recovery.py
FIGSCRIPT-003	scripts/run_composite_scnoise10_stage3ab_full.py	270ed643444542f6ded7a1fe32843d6411c44ad6	395	Fig. 1D (10% noise)	10% noisy-reference Stage3A/Stage3B outputs and retained six-method mappings	fig1d_scnoise10_stage3ab_full.png/pdf and source tables	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_composite_scnoise10_stage3ab_full.py
FIGSCRIPT-004	scripts/plot_real_profile_mask_fig2c_only.py	8867d0b68dfd44d34d5e15b3502dc1014cab7942	4873	Fig. 2B	spot_foundation.csv	fig2_panel_c_real_profile_mask.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_real_profile_mask_fig2c_only.py
FIGSCRIPT-005	scripts/plot_fig2d_profile_mask_benchmark.py	4aea32d696bd5f87cf5e1f9019671c61e3bf0c07	6949	Fig. 2C	fig2d_profile_mask_benchmark_source_values.csv	fig2d_profile_mask_benchmark.png/pdf	mixed	RECOVERED_FROM_LOCAL_GIT_AND_HASH_VERIFIED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_fig2d_profile_mask_benchmark.py
FIGSCRIPT-006	scripts/plot_real_profile_mask_expression_recovery.py	c0c2dfd0c00363d85ac326153d9c2fa614d3c48a	4218	Fig. 2D	expression_recovery_by_scenario.csv and expression_recovery_long.csv	expression_recovery_cosine_summary_bar.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/plot_real_profile_mask_expression_recovery.py
FIGSCRIPT-007	scripts/build_fig2e_stage3_profile_mask_route2_only.py	d820257f6044b0d75de6705843b72dd27c0cc434	6929	Fig. 2F	fig2e_stage3_profile_mask_metrics.csv	fig2e_stage3_profile_mask_route2_ce9_ce10.png/pdf	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/build_fig2e_stage3_profile_mask_route2_only.py
FIGSCRIPT-008	scripts/build_fig3b_highres_profile_mask_enrichment.py	afd135cd4f38255bf8ba9897c9bfca2cbb7b3b1e	19595	Fig. 3B	five high-resolution mapping outputs	fig3b_highres_profile_mask_enrichment.png/pdf/svg and source tables	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/build_fig3b_highres_profile_mask_enrichment.py
FIGSCRIPT-009	scripts/run_highres_targeted_validation_fig2c.py	8b78294ec02a798d60fa7344594c0260f7ba3c85	3337	Fig. 3C representative curve	configs/highres_targeted_validation_fig2c.json	targeted_fig2c_*.png/pdf/svg and curve CSVs	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/run_highres_targeted_validation_fig2c.py
FIGSCRIPT-010	scripts/build_highres_profile_mask_fig2d_benchmark.py	97649fc795769c17bb351506a5387957ddab63da	18248	Fig. 3C 21-readout panel	high-resolution mapping outputs	fig2d_highres_profile_mask_benchmark.png/pdf/svg and source tables	mixed	DIRECTLY_RETAINED	reproducibility_release/release_candidate_v1.0/figure_scripts/scripts/build_highres_profile_mask_fig2d_benchmark.py
