record_id	asset_kind	asset_id_or_path	source_layer	frozen_manifest_class	release_classification	included_as_file	release_action	notes
RED-DATA-001	dataset	CTA01_BCSA2TUMB1	PROJECT_GENERATED_ENDPOINT_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-002	dataset	EXT01_MEL1	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-003	dataset	EXT02_MEL2	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-004	dataset	EXT03_BRCA_V1	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-005	dataset	EXT04_BRCA_FFPE	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-006	dataset	EXT05_TNBC	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-007	dataset	EXT06_CRC	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-008	dataset	LR01_KIDNEY	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-009	dataset	LR02_BRAIN	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-010	dataset	LR03_BRCA_FFPE	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-011	dataset	LR04_BRCA_FF	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-012	dataset	LR05_BRCA_ILC	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-013	dataset	LR06_CERVICAL	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-014	dataset	LR07_HEART	THIRD_PARTY_RETAINED_EXPORT	RESTRICTED	INTERNAL_NOT_FOR_RELEASE	false	Do not include data; retain metadata only.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-015	dataset	LR08_INTESTINE	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-016	dataset	LR09_LYMPH_NODE	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-017	dataset	LR10_EMBRYO	THIRD_PARTY_RETAINED_EXPORT	LINK_AND_RECONSTRUCT_ONLY	LINK_AND_RECONSTRUCT	false	Provide official acquisition route and reconstruction code.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-018	dataset	MERS01_BREAST	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED_PERMISSION	false	Metadata, official link and reconstruction instructions only.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-019	dataset	MERS02_COLON	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED_PERMISSION	false	Metadata, official link and reconstruction instructions only.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-020	dataset	MERS03_LUNG	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED_PERMISSION	false	Metadata, official link and reconstruction instructions only.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-021	dataset	MERS04_MELANOMA1	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED_PERMISSION	false	Metadata, official link and reconstruction instructions only.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-022	dataset	MERS05_MELANOMA2	THIRD_PARTY_RETAINED_EXPORT	PERMISSION_UNRESOLVED	UNRESOLVED_PERMISSION	false	Metadata, official link and reconstruction instructions only.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-023	dataset	RD01_EMBRYO_ENDODERM	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-024	dataset	RD02_EMBRYO_ERYTHROID	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-025	dataset	RD03_TNBC_PLASMA	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-026	dataset	RD04_CRC_B	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
RED-DATA-027	dataset	RD05_BRCA_FFPE_PLASMA	PROJECT_GENERATED_DERIVATIVE	REDISTRIBUTABLE_DERIVATIVE_ONLY	PROJECT_GENERATED_REDISTRIBUTABLE	false	Project-generated derivative may enter candidate subject to source terms.	Dataset metadata is retained in dataset_manifest_v1.0.tsv.
