scenario,dataset_label,scrna_label,masked_label,method,display_method,cell_type,actual_cell_type,cell_label,feature,NES,P-value,ES,peak_rank,n_cells,n_close,n_far,n_genes_used
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,1.8177656058311713,0.000999000999000999,0.7768696062343936,2270,1146,580,566,324
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.2572334654142218,1.0,0.10980481949000205,1922,1146,580,566,316
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.8249522441790136,0.000999000999000999,0.8377151395303345,1044,1380,709,671,111
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,-4.556339240766989e-13,1.0,-2.0890233987103102e-13,14520,1380,709,671,106
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,Mono/Mac,Macrophages,Mono/Mac,CE9,1.6303156860088273,0.000999000999000999,0.4982553900391164,2077,150,82,68,487
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,Mono/Mac,Macrophages,Mono/Mac,CE10,1.3805706644602194,0.000999000999000999,0.41936830040759165,2801,150,82,68,482
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE9,1.4673290765081366,0.03196803196803197,0.5997863328824724,1018,645,323,322,38
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,B cells,B cells,B cells,CE10,0.370132490506627,0.9820179820179821,0.1525632630871035,971,645,323,322,36
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE9,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,CytoSPACE,CytoSPACE,Plasma cells,Plasma cells,Plasma cells,CE10,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE9,1.9540762550534125,0.000999000999000999,0.804838318813231,1973,1176,603,573,324
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD4 T cells,CD4 T cells,CD4 T cells,CE10,2.9490202320765117e-14,1.0,1.2169085183977302e-14,14520,1176,603,573,316
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.8816157508081541,0.000999000999000999,0.8404245530872976,1521,1416,744,672,111
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",CD8 T cells,CD8 T cells,CD8 T cells,CE10,0.08222333950019628,1.0,0.036563308105712275,818,1416,744,672,106
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE9,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Mono/Mac,Monocytes and Macrophages,Mono/Mac,CE10,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE9,1.6302593899741522,0.024975024975024976,0.5695583248526438,1906,662,336,326,38
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",B cells,B cells,B cells,CE10,0.07986503878916441,0.9920079920079921,0.028454773918002482,700,662,336,326,36
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE9,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel1_rep2_screen_mask_macrophages,Melanoma 1,Tirosh et al.,Macrophages,SVTuner + CytoSPACE,"SVTuner +
CytoSPACE",Plasma cells,Plasma cells,Plasma cells,CE10,,,,0,0,0,0,0
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE9,1.8390208814333464,0.000999000999000999,0.8132788469015859,2025,1499,764,735,324
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD4 T cells,CD4 T cells,CD4 T cells,CE10,0.09964673368523164,1.0,0.04418743301850467,1157,1499,764,735,317
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE9,1.789759349802827,0.000999000999000999,0.8072339873858861,1198,1804,902,902,111
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,CD8 T cells,CD8 T cells,CD8 T cells,CE10,0.00015016596289611577,1.0,6.80410970129372e-05,14802,1804,902,902,106
cytospace_fig2c_melanoma_mel2_rep1_profile_mask_nk_cells,Melanoma 2,Tirosh et al.,NK cells,CytoSPACE,CytoSPACE,Mono/Mac,Macrophages,Mono/Mac,CE9,2.4266958160461005,0.000999000999000999,0.6813179136167928,1539,196,119,77,487
