sample,source_sample,target_type,scenario_label,CytoSPACE,SVTuner + CytoSPACE,delta_route2_minus_baseline,route2_better
adult_mouse_kidney_real_profile_mask_endo,adult_mouse_kidney_real,Endo,"Mouse kidney
Endo",0.6082486084173793,0.6192922286655622,0.01104362024818295,True
ffpe_mouse_brain_sagittal_real_profile_mask_microglia,ffpe_mouse_brain_sagittal_real,Microglia,"Mouse brain
Microglia",0.44700006777210455,0.45189371879516677,0.004893651023062218,True
human_breast_cancer_real_profile_mask_basal_cell,human_breast_cancer_real,Basal cell,"BRCA
Basal cell",0.6371451433593057,0.6375551523544326,0.00041000899512688704,True
human_breast_cancer_visium_ff_wta_real_profile_mask_macrophage,human_breast_cancer_visium_ff_wta_real,Macrophage,"BRCA FF WTA
Macrophage",0.5578241455759639,0.5586208143784648,0.0007966688025008439,True
human_breast_cancer_wta_120_real_profile_mask_endothelial_cell,human_breast_cancer_wta_120_real,Endothelial cell,"BRCA WTA120
Endothelial cell",0.57843141991152,0.5779771008552042,-0.0004543190563158772,False
human_cervical_cancer_real_profile_mask_epithelial_cell,human_cervical_cancer_real,Epithelial cell,"Cervical
Epithelial cell",0.4672575481559751,0.47925673294940163,0.011999184793426543,True
human_heart_ff_real_profile_mask_endothelial_cell,human_heart_ff_real,Endothelial cell,"Heart FF
Endothelial cell",0.3024118908072154,0.3292853431604227,0.02687345235320726,True
human_intestine_cancer_real_profile_mask_endothelial_cell,human_intestine_cancer_real,Endothelial cell,"Intestine
Endothelial cell",0.4410831515743763,0.4394434459383945,-0.0016397056359817586,False
human_lymph_node_real_profile_mask_b_cell,human_lymph_node_real,B cell,"Lymph node
B cell",0.5741095278656813,0.5814374482648236,0.007327920399142318,True
mouse_embryo_real_profile_mask_erythroid,mouse_embryo_real,Erythroid,"Mouse embryo
Erythroid",0.6347355266886571,0.6379305299312262,0.003195003242569161,True
