scene,scene_index,group,marker_percentile
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9507304942493006
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.964874106310227
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9516630400994716
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9232203916692571
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.935965184954927
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9923842088902705
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9031706558905813
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8548336959900529
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9612993472179049
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9442026732981038
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9497979483991297
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8756605533105377
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8873173764376748
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9608330742928194
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9513521914827479
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9170034193347839
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9950264221324215
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9515076157911098
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9872552067143301
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9829033260801989
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9933167547404415
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9247746347528754
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9382965495803544
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9239975132110662
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9390736711221636
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9560149207336027
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9013055641902393
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9462231893068076
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9493316754740442
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9145166304009947
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9323904258626049
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9443580976064656
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9400062169723344
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8803232825613926
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9906745414982904
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9622318930680759
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9023935343487721
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9878769039477774
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.986478085172521
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9619210444513522
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9185576624184022
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9364314578800125
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9269505750699409
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9482437053155114
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.857475909232204
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9676717438607398
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.8560770904569475
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9773080509791732
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9667391980105688
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.858253030774013
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9302144855455393
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9320795772458813
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9193347839602114
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9137395088591855
Mouse embryo: Endoderm/Gut,1,Marker-defined target region,0.9227541187441716
