pair_id,source_sample,sample,target_type,spots,target_spots,control_blank_spots,dropout_blank_spots,persistent_blank_spots,dropout_induced_blank_spots,dropout_lost_blank_spots,net_blank_gain,control_target_overlap,dropout_target_overlap,dropout_induced_target_overlap,dropout_lost_target_overlap,net_target_overlap_gain,control_target_recall,dropout_target_recall,dropout_target_precision,induced_target_precision,induced_target_recall_total,induced_target_recall_after_control,induced_background_spots,induced_background_false_positive_rate,blank_mask_jaccard,causal_selection_score,suitable_primary_case
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_epithelial_cells,Epithelial cells,2518,378,73,204,0,204,73,131,0,159,159,0,159,0.0,0.42063492063492064,0.7794117647058824,0.7794117647058824,0.42063492063492064,0.42063492063492064,45,0.02102803738317757,0.0,0.5539059704878836,True
crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_b_cells,B cells,3138,471,150,298,145,153,5,148,93,234,141,0,141,0.19745222929936307,0.4968152866242038,0.785234899328859,0.9215686274509803,0.29936305732484075,0.373015873015873,12,0.0044994375703037125,0.47854785478547857,0.544561375547427,True
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_plasma_cells,Plasma cells,2518,378,73,337,33,304,40,264,22,231,212,3,209,0.0582010582010582,0.6111111111111112,0.685459940652819,0.6973684210526315,0.5608465608465608,0.5955056179775281,92,0.04299065420560748,0.08753315649867374,0.6349130738247253,False
brca_tnbc_fresh_frozen,cytospace_fig2d_tme_brca_tnbc_fresh_frozen,cytospace_fig2d_tme_brca_tnbc_fresh_frozen_sc_missing_plasma_cells,Plasma cells,1211,182,82,97,71,26,11,15,76,91,24,9,15,0.4175824175824176,0.5,0.9381443298969072,0.9230769230769231,0.13186813186813187,0.22641509433962265,2,0.001943634596695821,0.6574074074074074,0.4327027099456826,False
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_endoderm_gut,Endoderm/Gut,6434,965,805,832,754,78,51,27,630,702,73,1,72,0.6528497409326425,0.7274611398963731,0.84375,0.9358974358974359,0.07564766839378238,0.21791044776119403,5,0.0009142439202779302,0.853907134767837,0.42665509184361516,False
brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe,cytospace_fig2d_tme_brca_her2_ffpe_sc_missing_fibroblasts,Fibroblasts,2518,378,73,131,30,101,43,58,28,98,75,5,70,0.07407407407407407,0.25925925925925924,0.7480916030534351,0.7425742574257426,0.1984126984126984,0.21428571428571427,26,0.012149532710280374,0.1724137931034483,0.3962276973135676,False
human_intestine_cancer_real,human_intestine_cancer_real,human_intestine_cancer_real_sc_missing_epithelial_cell,Epithelial cell,2660,399,114,110,105,5,9,-4,55,59,4,0,4,0.13784461152882205,0.14786967418546365,0.5363636363636364,0.8,0.010025062656641603,0.011627906976744186,1,0.0004422821760283061,0.8823529411764706,0.28723945637006326,False
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_erythroid,Erythroid,6434,965,805,812,763,49,42,7,670,686,30,14,16,0.694300518134715,0.7108808290155441,0.8448275862068966,0.6122448979591837,0.031088082901554404,0.1016949152542373,19,0.003474126897056135,0.8934426229508197,0.25757789162870576,False
human_intestine_cancer_real,human_intestine_cancer_real,human_intestine_cancer_real_sc_missing_plasma_b_cell,Plasma B cell,2660,399,114,116,114,2,0,2,26,27,1,0,1,0.06516290726817042,0.06766917293233082,0.23275862068965517,0.5,0.002506265664160401,0.002680965147453083,1,0.0004422821760283061,0.9827586206896551,0.17685238763206707,False
ffpe_mouse_brain_sagittal_real,ffpe_mouse_brain_sagittal_real,ffpe_mouse_brain_sagittal_real_sc_missing_inhibitory_neuron,Inhibitory neuron,8470,1271,374,332,323,9,51,-42,135,91,1,45,-44,0.10621557828481511,0.07159716758457907,0.2740963855421687,0.1111111111111111,0.0007867820613690008,0.0008802816901408451,8,0.0011112654535352132,0.8433420365535248,0.039682838244963235,False
crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen,cytospace_fig2d_tme_crc_fresh_frozen_sc_missing_fibroblasts,Fibroblasts,3138,471,150,151,150,1,0,1,78,78,0,0,0,0.16560509554140126,0.16560509554140126,0.5165562913907285,0.0,0.0,0.0,1,0.0003749531308586427,0.9933774834437086,0.00013732359888135001,False
human_cervical_cancer_real,human_cervical_cancer_real,human_cervical_cancer_real_sc_missing_epithelial_cell,Epithelial cell,2781,418,84,70,70,0,14,-14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.8333333333333334,0.0,False
mouse_embryo_real,mouse_embryo_real,mouse_embryo_real_sc_missing_neural,Neural,6434,965,805,793,793,0,12,-12,36,35,0,1,-1,0.03730569948186528,0.03626943005181347,0.044136191677175286,0.0,0.0,0.0,0,0.0,0.9850931677018634,0.0,False
