scene,pair_id,target_type,top_fraction,threshold_label,n_spots,target_core_spots,stage3b_blank_spots,inside_target_core_spots,near_target_core_spots,outside_target_associated_spots,target_associated_spots,inside_fraction,near_fraction,outside_fraction,target_associated_fraction,core_recall
Mouse embryo (Endoderm/Gut),mouse_embryo_real,Endoderm/Gut,0.1,top10,6434,644,832,605,84,143,689,0.7271634615384616,0.10096153846153846,0.171875,0.828125,0.9394409937888198
Mouse embryo (Endoderm/Gut),mouse_embryo_real,Endoderm/Gut,0.15,top15,6434,965,832,702,5,125,707,0.84375,0.006009615384615385,0.1502403846153846,0.8497596153846154,0.7274611398963731
Mouse embryo (Endoderm/Gut),mouse_embryo_real,Endoderm/Gut,0.2,top20,6434,1287,832,706,21,105,727,0.8485576923076923,0.025240384615384616,0.12620192307692307,0.8737980769230769,0.5485625485625486
Mouse embryo (Endoderm/Gut),mouse_embryo_real,Endoderm/Gut,0.25,top25,6434,1609,832,711,31,90,742,0.8545673076923077,0.037259615384615384,0.10817307692307693,0.8918269230769231,0.44188937228091985
Mouse embryo (Erythroid),mouse_embryo_real,Erythroid,0.1,top10,6434,644,812,592,66,154,658,0.729064039408867,0.0812807881773399,0.1896551724137931,0.8103448275862069,0.9192546583850931
Mouse embryo (Erythroid),mouse_embryo_real,Erythroid,0.15,top15,6434,965,812,686,21,105,707,0.8448275862068966,0.02586206896551724,0.12931034482758622,0.8706896551724138,0.7108808290155441
Mouse embryo (Erythroid),mouse_embryo_real,Erythroid,0.2,top20,6434,1287,812,696,24,92,720,0.8571428571428571,0.029556650246305417,0.11330049261083744,0.8866995073891626,0.5407925407925408
Mouse embryo (Erythroid),mouse_embryo_real,Erythroid,0.25,top25,6434,1609,812,710,22,80,732,0.874384236453202,0.027093596059113302,0.09852216748768473,0.9014778325123153,0.44126786824114356
BRCA TNBC (Plasma cells),brca_tnbc_fresh_frozen,Plasma cells,0.1,top10,1211,122,97,78,19,0,97,0.8041237113402062,0.1958762886597938,0.0,1.0,0.639344262295082
BRCA TNBC (Plasma cells),brca_tnbc_fresh_frozen,Plasma cells,0.15,top15,1211,182,97,91,6,0,97,0.9381443298969072,0.061855670103092786,0.0,1.0,0.5
BRCA TNBC (Plasma cells),brca_tnbc_fresh_frozen,Plasma cells,0.2,top20,1211,243,97,97,0,0,97,1.0,0.0,0.0,1.0,0.3991769547325103
BRCA TNBC (Plasma cells),brca_tnbc_fresh_frozen,Plasma cells,0.25,top25,1211,303,97,97,0,0,97,1.0,0.0,0.0,1.0,0.3201320132013201
CRC (B cells),crc_fresh_frozen,B cells,0.1,top10,3138,314,298,212,46,40,258,0.7114093959731543,0.15436241610738255,0.1342281879194631,0.8657718120805369,0.6751592356687898
CRC (B cells),crc_fresh_frozen,B cells,0.15,top15,3138,471,298,234,43,21,277,0.785234899328859,0.14429530201342283,0.07046979865771812,0.9295302013422819,0.4968152866242038
CRC (B cells),crc_fresh_frozen,B cells,0.2,top20,3138,628,298,243,35,20,278,0.8154362416107382,0.1174496644295302,0.06711409395973154,0.9328859060402684,0.3869426751592357
CRC (B cells),crc_fresh_frozen,B cells,0.25,top25,3138,785,298,247,36,15,283,0.8288590604026845,0.12080536912751678,0.050335570469798654,0.9496644295302014,0.3146496815286624
BRCA HER2 FFPE (Plasma cells),brca_her2_ffpe,Plasma cells,0.1,top10,2518,252,337,177,144,16,321,0.5252225519287834,0.42729970326409494,0.04747774480712166,0.9525222551928784,0.7023809523809523
BRCA HER2 FFPE (Plasma cells),brca_her2_ffpe,Plasma cells,0.15,top15,2518,378,337,231,100,6,331,0.685459940652819,0.29673590504451036,0.017804154302670624,0.9821958456973294,0.6111111111111112
BRCA HER2 FFPE (Plasma cells),brca_her2_ffpe,Plasma cells,0.2,top20,2518,504,337,275,60,2,335,0.8160237388724035,0.17804154302670624,0.005934718100890208,0.9940652818991098,0.5456349206349206
BRCA HER2 FFPE (Plasma cells),brca_her2_ffpe,Plasma cells,0.25,top25,2518,630,337,294,42,1,336,0.8724035608308606,0.12462908011869436,0.002967359050445104,0.9970326409495549,0.4666666666666667
BRCA HER2 FFPE (Epithelial cells),brca_her2_ffpe,Epithelial cells,0.1,top10,2518,252,204,121,68,15,189,0.5931372549019608,0.3333333333333333,0.07352941176470588,0.9264705882352942,0.4801587301587302
BRCA HER2 FFPE (Epithelial cells),brca_her2_ffpe,Epithelial cells,0.15,top15,2518,378,204,159,44,1,203,0.7794117647058824,0.21568627450980393,0.004901960784313725,0.9950980392156863,0.42063492063492064
BRCA HER2 FFPE (Epithelial cells),brca_her2_ffpe,Epithelial cells,0.2,top20,2518,504,204,184,20,0,204,0.9019607843137255,0.09803921568627451,0.0,1.0,0.36507936507936506
BRCA HER2 FFPE (Epithelial cells),brca_her2_ffpe,Epithelial cells,0.25,top25,2518,630,204,195,9,0,204,0.9558823529411765,0.04411764705882353,0.0,1.0,0.30952380952380953
