method,source_type,receiver_type,coupling_change,bootstrap_se,fdr
CytoSPACE dropout,B cells,B cells,0.028316676464824605,0.0019022193,3.2447760600548284e-49
CytoSPACE dropout,B cells,CD4 T cells,0.02660199882422104,0.0019251939,1.2458090461764817e-42
CytoSPACE dropout,B cells,CD8 T cells,0.02336860670194003,0.0015709483,3.604365102766484e-49
CytoSPACE dropout,B cells,Endothelial cells,0.017734665882814027,0.0016537933,3.5481345801632617e-26
CytoSPACE dropout,B cells,Epithelial cells,0.0012737605330197924,0.00052270986,0.021550857689741614
CytoSPACE dropout,B cells,Fibroblasts,0.01998824221046443,0.0016760705,4.6397233699710466e-32
CytoSPACE dropout,B cells,Monocytes and Macrophages,0.013521457965902409,0.0013033731,1.3760936237299818e-24
CytoSPACE dropout,B cells,NK cells,0.024201450127376054,0.001790323,7.355156343077922e-41
CytoSPACE dropout,B cells,PVL,0.01268861454046639,0.0013478715,1.6403764901145502e-20
CytoSPACE dropout,B cells,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,B cells,T-cells,0.0033803644914756014,0.0005565817,2.282133692359987e-09
CytoSPACE dropout,B cells,Abstained,0.0,0.0,1.0
CytoSPACE dropout,CD4 T cells,B cells,0.028022731726435424,0.0017979408,1.1862091146194379e-53
CytoSPACE dropout,CD4 T cells,CD4 T cells,0.027042915931804818,0.0017682574,8.684443926545252e-52
CytoSPACE dropout,CD4 T cells,CD8 T cells,0.02547521066039584,0.0017100138,2.891077363777014e-49
CytoSPACE dropout,CD4 T cells,Endothelial cells,0.01263962375073486,0.0012698381,8.968889060833886e-23
CytoSPACE dropout,CD4 T cells,Epithelial cells,0.000636880266509896,0.00021536947,0.0046574238398406536
CytoSPACE dropout,CD4 T cells,Fibroblasts,0.01587301587301587,0.0014593985,6.936619521860517e-27
CytoSPACE dropout,CD4 T cells,Monocytes and Macrophages,0.010337056633352928,0.0010154201,9.73454059047294e-24
CytoSPACE dropout,CD4 T cells,NK cells,0.02429943170683911,0.0016350026,4.1867952539454156e-49
CytoSPACE dropout,CD4 T cells,PVL,0.010288065843621397,0.0011956833,2.1255740096941902e-17
CytoSPACE dropout,CD4 T cells,Plasma cells,0.0,0.0,1.0
CytoSPACE dropout,CD4 T cells,T-cells,0.004997060552616106,0.0007246041,1.0828056292784118e-11
CytoSPACE dropout,CD4 T cells,Abstained,0.0,0.0,1.0
