panel,group,metric,n,mean,ci95_low,ci95_high,n_bootstrap
G,tumor_core,withheld_rate,1602,0.00686641697877653,0.003121098626716604,0.011235955056179775,3000
G,tumor_core,withheld_score,1602,0.3640599139277772,0.35887060540570626,0.36914987879749867,3000
G,tumor_core,immune_fraction,1602,0.0262257228383956,0.023577488292222643,0.029013923105287113,3000
G,immune_enriched,withheld_rate,312,0.28205128205128205,0.23397435897435898,0.3333333333333333,3000
G,immune_enriched,withheld_score,312,0.501284948126278,0.48968538132547457,0.5132964057536336,3000
G,immune_enriched,immune_fraction,312,0.5952527177340872,0.5725427254027206,0.6180877296922167,3000
G,stroma_rich,withheld_rate,147,0.1836734693877551,0.12244897959183673,0.24489795918367346,3000
G,stroma_rich,withheld_score,147,0.4892602414940906,0.4723129540617906,0.505971792087373,3000
G,stroma_rich,immune_fraction,147,0.09367246116280968,0.07935265432114257,0.10825265581077315,3000
G,mixed_boundary,withheld_rate,94,0.010638297872340425,0.0,0.031914893617021274,3000
G,mixed_boundary,withheld_score,94,0.43700376535147667,0.4173989123021334,0.4556436955155837,3000
G,mixed_boundary,immune_fraction,94,0.17531624697157192,0.15719493757369216,0.19391146396657036,3000
G,unmapped_or_excluded,withheld_rate,93,0.23655913978494625,0.15053763440860216,0.3225806451612903,3000
G,unmapped_or_excluded,withheld_score,93,0.5109296699926481,0.485087059391542,0.5354492750911198,3000
G,unmapped_or_excluded,immune_fraction,93,0.053763440860215055,0.016129032258064516,0.09946236559139784,3000
H,"deep tumor
(<-4)",withheld_rate,240,0.0,0.0,0.0,3000
H,"deep tumor
(<-4)",mean_withheld_score,240,0.3855479774186046,0.37225806647535076,0.3988399182828286,3000
H,"inner tumor
(-4,-2)",withheld_rate,547,0.0,0.0,0.0,3000
H,"inner tumor
(-4,-2)",mean_withheld_score,547,0.3623100527412598,0.35384920313730667,0.3709887505129953,3000
H,"tumor edge
(-2,-1)",withheld_rate,774,0.012919896640826873,0.00516795865633075,0.021963824289405683,3000
H,"tumor edge
(-2,-1)",mean_withheld_score,774,0.35804874675926185,0.35065091737150816,0.3652110150485262,3000
H,"near tumor
(-1,0)",withheld_rate,258,0.07751937984496124,0.046511627906976744,0.1124031007751938,3000
H,"near tumor
(-1,0)",mean_withheld_score,258,0.4441905000011309,0.4312513327764972,0.45705177325522794,3000
H,"interface side
(0,1)",withheld_rate,52,0.21153846153846154,0.11538461538461539,0.3269230769230769,3000
H,"interface side
(0,1)",mean_withheld_score,52,0.5098284262590705,0.47646455536008464,0.541868868519277,3000
H,"outer side
(1,2)",withheld_rate,223,0.2556053811659193,0.19730941704035873,0.31390134529147984,3000
H,"outer side
(1,2)",mean_withheld_score,223,0.5111808248897085,0.49754874930074255,0.5236606309875077,3000
H,"outer domain
(2,4)",withheld_rate,84,0.5238095238095238,0.4166666666666667,0.6309523809523809,3000
H,"outer domain
(2,4)",mean_withheld_score,84,0.5270012070662727,0.5047816729188594,0.5475324867587656,3000
H,"far outside
(>4)",withheld_rate,70,0.1,0.02857142857142857,0.17142857142857143,3000
H,"far outside
(>4)",mean_withheld_score,70,0.47032083926208607,0.440415401055675,0.5006877769726954,3000
