analysis,comparison,permutation,statistic,hop,deep_tumor_core,immune_associated_niche,low_signal_edge_context,mixed_tumor_boundary_niche,stroma_interface_niche,tumor_interior,metric,moran_i,geary_c
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,0,0.01021612326015936,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,1,-0.01875250918515653,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,2,0.00744386023754201,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,3,-0.007683989617437936,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,4,-0.01675652453447868,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,5,0.014213286954733007,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,6,-0.0063419325312671915,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,7,0.0040698504169849326,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,8,-0.012459047628062214,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,9,-0.005146781722517313,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,10,0.011948440261851545,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,11,0.006180304916299173,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,12,0.005308306717482336,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,13,0.007250866930705979,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,14,0.009503921041021601,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,15,0.007153821150391315,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,16,0.0028043811384673156,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,17,-0.0031726398521063626,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,18,-0.007572905320745449,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,19,-0.015467242855552954,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,20,-0.0030867770805773076,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,21,-0.00025846008330815406,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,22,0.007682934592237456,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,23,-0.00824945475158645,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,24,-0.012379497551311958,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,25,-0.013668251786914554,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,26,-0.009461346931270154,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,27,-0.0027106275918363787,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,28,0.009898143296847739,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,29,0.007958004989058187,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,30,0.0021359819783309253,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,31,0.005927182487072025,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,32,-0.010466985328723089,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,33,-0.0002850276203895663,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,34,-0.01534781465775098,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,35,0.009844320713732202,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,36,0.00598912518281014,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,37,0.008515223459221177,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,38,0.002020680285180654,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,39,0.0002799415327115473,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,40,-0.0030264156379182228,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,41,-0.0031306363857500075,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,42,-0.0008642338987625009,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,43,-0.0033519720400770336,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,44,0.0017989503416522279,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,45,-0.0014485627527972,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,46,-0.0005266147412474331,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,47,-0.003930479354350869,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,48,-0.008695726383394609,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,49,0.009987887201172885,,,,,,,,,,
niche_withheld_score_permutation,immune_associated_vs_tumor_dominant,50,-0.00748273308829428,,,,,,,,,,
