file_id,file_path,file_type,row_count,column_count,columns,candidate_barcode_column,candidate_coordinate_columns,coordinate_min_x,coordinate_max_x,coordinate_min_y,coordinate_max_y,matches_2248_universe,matches_1888_main_analysis,contains_endpoint_labels,contains_baseline_burden,contains_withheld_score,contains_withheld_binary,contains_source_metadata,likely_phase,generated_by_script,notes
file_0001,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_barcode_overlap_report.csv,.csv,18,8,candidate_id|source|frozen_spots|candidate_spots|overlap_spots|overlap_fraction|missing_from_candidate|extra_in_candidate,,,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0002,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_candidate_decision_table.csv,.csv,18,10,candidate_id|candidate_name|source|local_or_downloaded|official_or_primary|barcode_match_strength|coordinate_alignment_strength|selected_for_v3|decision_category|reason,barcode_match_strength,,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0003,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_coordinate_alignment_report.csv,.csv,18,13,candidate_id|coordinate_source|frozen_x_column|frozen_y_column|candidate_x_column|candidate_y_column|direct_rmse|tested_transforms|best_transform|post_transform_rmse|image_bounds_check|alignment_verified|reason,,,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0004,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_current_coordinate_provenance_report.json,.json,,10,frozen_spots|barcode_column|coordinate_columns|coordinate_interpretation|imagecol_min|imagecol_max|imagerow_min|imagerow_max|barcodes_look_like_10x_visium|sample_or_source_hints,barcode_column,imagecol_min|imagecol_max|imagerow_min|imagerow_max,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0005,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_downloaded_bundle_audit.csv,.csv,1,12,bundle_id|source_url|local_path|file_size|checksum|extracted_dir|tissue_image_found|scalefactors_found|tissue_positions_found|barcode_overlap|alignment_verified|notes,barcode_overlap,,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0006,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_guardrails.json,.json,,22,phase|decision|audit_only|layout_only|SVTuner_rerun|Stage3_rerun|Stage4_run|CytoSPACE_rerun|endpoint_redefined|new_biological_endpoint_introduced|threshold_selected_using_endpoint_labels|new_mapping_or_new_computation|data_changed|metrics_changed|threshold_changed|endpoint_labels_changed|conclusions_changed|external_image_used_as_background_without_verification|downloaded_bundle_used_for_visualization|downloaded_bundle_used_for_audit_only|all_quantitative_claims_based_on_full_frozen_analysis_set|guardrails_passed,,,,,,,False,False,True,False,False,False,False,BioApp Figure V2.5,,
file_0007,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_local_spatial_bundle_audit.csv,.csv,18,13,candidate_id|spatial_dir|tissue_image|scalefactors_json|tissue_positions|barcode_overlap|barcode_overlap_fraction|direct_rmse_x|direct_rmse_y|best_transform_type|post_transform_rmse|alignment_verified|reason,barcode_overlap,,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0008,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_online_he_provenance_audit_summary.json,.json,,36,phase|decision|layout_only_audit|SVTuner_rerun|Stage3_rerun|Stage4_run|CytoSPACE_rerun|endpoint_redefined|data_changed|metrics_changed|threshold_changed|endpoint_labels_changed|conclusions_changed|current_frozen_spot_count|main_analysis_spots|candidate_online_sources_checked|candidate_bundles_downloaded|verified_tissue_bundle_found|verified_tissue_image_path|verified_scalefactors_json_path|verified_tissue_positions_path|barcode_overlap_with_verified_bundle|alignment_verified|alignment_rmse|transform_type|recommended_next_step|phase8_decision|phase8_golden_rules_decision|phase8_gene_count_material_mismatch|phase9_decision|v2_alignment_verified|v2_fallback_to_spot_lattice|v2_guardrails_decision|candidate_count_total|downloaded_bundle_count|created_at_unix,barcode_overlap_with_verified_bundle,,,,,,False,False,True,False,False,False,True,BioApp Figure V2.5,,
file_0009,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_online_source_audit.csv,.csv,6,11,source_id|source_type|source_name|source_url|source_domain|official_or_primary|mentions_cytassist_ffpe_human_breast_cancer|mentions_visium_he|mentions_spatial_bundle|discovered_download_urls|notes,,,,,,,False,False,False,False,False,False,True,BioApp Figure V2.5,,
file_0010,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/bioapp_v2_5_recommended_next_step.md,.md,,,,,,,,,,False,False,False,False,False,False,False,BioApp Figure V2.5,,
file_0011,visualizations/bioapp_figure_v2_5_online_he_spatial_bundle_provenance_audit/README.md,.md,,,,,,,,,,False,False,False,False,False,False,False,BioApp Figure V2.5,,
file_0012,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_candidate_spatial_bundle_comparison.csv,.csv,5,14,candidate_id|spatial_dir|tissue_image|tissue_positions|scalefactors_json|source_consistent_with_provenance|barcode_overlap|barcode_overlap_fraction|array_coordinate_match|image_coordinate_match|documented_transform_match|alignment_verified|accepted_as_true_source|reason,barcode_overlap,,,,,,False,False,False,False,False,False,True,,,
file_0013,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_coordinate_column_audit.csv,.csv,55,16,file_id|file_path|coordinate_column_name|role|min|max|mean|std|integer_like|value_range_classification|compatible_with_fullres_pixels|compatible_with_hires_pixels|compatible_with_lowres_pixels|compatible_with_array_coordinates|compatible_with_normalized_coordinates|notes,,,,,,,False,False,False,False,False,False,True,,,
file_0014,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_coordinate_provenance_summary.json,.json,,33,phase|decision|audit_only|layout_only|SVTuner_rerun|Stage3_rerun|Stage4_run|CytoSPACE_rerun|endpoint_redefined|data_changed|metrics_changed|threshold_changed|endpoint_labels_changed|conclusions_changed|frozen_spot_count|main_analysis_spots|coordinate_columns_identified|barcode_column_identified|first_coordinate_source_file|first_coordinate_source_script|coordinate_source_classification|specific_spatial_bundle_verified|verified_spatial_bundle_path|verified_tissue_image_path|verified_tissue_positions_path|verified_scalefactors_json_path|registration_transform_found|registration_transform_path|h_and_e_overlay_recoverable|recommended_next_step|phase2br2_st_data_object|phase2br2_image_slot|v2_5_decision,barcode_column_identified,,,,,,False,False,True,False,False,False,True,,,
file_0015,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_coordinate_recovery_decision.md,.md,,,,,,,,,,False,False,False,False,False,False,False,,,
file_0016,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_first_coordinate_source_report.md,.md,,,,,,,,,,False,False,False,False,False,False,False,,,
file_0017,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_guardrails.json,.json,,22,phase|decision|audit_only|layout_only|main_figure_redrawn|SVTuner_rerun|Stage3_rerun|Stage4_run|CytoSPACE_rerun|endpoint_redefined|new_biological_endpoint_introduced|threshold_selected_using_endpoint_labels|new_mapping_or_new_computation|data_changed|metrics_changed|threshold_changed|endpoint_labels_changed|conclusions_changed|external_image_used_as_background_without_verification|h_and_e_used_in_figure|all_quantitative_claims_based_on_full_frozen_analysis_set|guardrails_passed,,,,,,,False,False,True,False,False,False,False,,,
file_0018,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_provenance_graph_edges.csv,.csv,4,9,source_node|target_node|edge_type|script_or_process|coordinate_columns_transferred|barcode_columns_transferred|transform_applied|evidence|confidence,barcode_columns_transferred,,,,,,False,False,False,False,False,False,True,,,
file_0019,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_registration_file_search_report.csv,.csv,332,10,file_path|file_type|matched_terms|likely_registration_file|contains_transform_matrix|contains_keypoints|contains_xenium_visium_reference|contains_he_reference|usable_for_recovery|notes,,,,,,,False,False,False,False,False,False,True,,,
file_0020,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_script_lineage_table.csv,.csv,22,16,script_id|script_path|phase|inputs_detected|outputs_detected|coordinate_columns_read|coordinate_columns_written|barcode_columns_read|barcode_columns_written|tissue_positions_read|scalefactors_read|tissue_image_read|coordinate_transform_detected|transform_type|relevant_code_lines_or_snippets|notes,barcode_columns_read,,,,,,False,False,False,False,False,False,True,,,
file_0021,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/bioapp_v2_6_spot_level_file_inventory.csv,.csv,397,22,file_id|file_path|file_type|row_count|column_count|columns|candidate_barcode_column|candidate_coordinate_columns|coordinate_min_x|coordinate_max_x|coordinate_min_y|coordinate_max_y|matches_2248_universe|matches_1888_main_analysis|contains_endpoint_labels|contains_baseline_burden|contains_withheld_score|contains_withheld_binary|contains_source_metadata|likely_phase|generated_by_script|notes,candidate_barcode_column,,,,,,False,False,True,True,True,True,True,,,
file_0022,visualizations/bioapp_figure_v2_6_frozen_spot_coordinate_provenance_audit/README.md,.md,,,,,,,,,,False,False,False,False,False,False,False,,,
file_0023,visualizations/bioapp_local_new_folder_inventory/cta_output_classification_distribution.csv,.csv,3,2,classification|count,,,,,,,False,False,False,False,False,False,False,,,
file_0024,visualizations/bioapp_local_new_folder_inventory/new_folder_file_inventory.csv,.csv,9,3,file|size_mb|role,,,,,,,False,False,False,False,False,False,False,,,
file_0025,visualizations/bioapp_local_new_folder_inventory/new_folder_inventory_report.txt,.txt,,,,,,,,,,False,False,False,False,False,False,False,,,
file_0026,visualizations/bioapp_main_figure_layout_only_spatial_visualization/fig_bioapp_layout_report.md,.md,,,,,,,,,,False,False,False,False,False,False,False,BioApp Figure V1,,
file_0027,visualizations/bioapp_main_figure_layout_only_spatial_visualization/fig_bioapp_palette.json,.json,,19,canvas_background|text|panel_divider|non_analysis_spot|ambiguous_excluded_spot|endpoint_positive|endpoint_outline|baseline_burden_low|baseline_burden_mid|baseline_burden_high|svtuner_withheld_low|svtuner_withheld_mid|svtuner_withheld_high|withheld_binary_fill|withheld_binary_outline|endpoint_negative|baseline_forced|prevented_by_svtuner|retained_burden,,,,,,,False,False,True,True,False,True,False,BioApp Figure V1,,
file_0028,visualizations/bioapp_main_figure_layout_only_spatial_visualization/fig_bioapp_visualization_guardrails.json,.json,,21,phase|decision|layout_only_optimization|SVTuner_rerun|Stage3_rerun|Stage4_run|CytoSPACE_rerun|endpoint_redefined|new_biological_endpoint_introduced|threshold_selected_using_endpoint_labels|new_mapping_or_new_computation_beyond_layout|data_changed|metrics_changed|threshold_changed|endpoint_labels_changed|conclusions_changed|representative_fovs_for_visualization_only|all_quantitative_claims_based_on_full_frozen_analysis_set|tissue_image_fabricated|main_figure_created|supplementary_figures_created,,,,,,,False,False,True,False,False,False,False,BioApp Figure V1,,
file_0029,visualizations/bioapp_main_figure_layout_only_spatial_visualization/README.md,.md,,,,,,,,,,False,False,False,False,False,False,False,BioApp Figure V1,,
file_0030,visualizations/bioapp_main_figure_v2_tissue_overlay_refinement/fig_bioapp_tissue_alignment_report.json,.json,,8,alignment_attempted|alignment_verified|coordinate_columns_used|image_coordinate_system|scale_factor_used|spot_overlay_successful|fallback_to_spot_lattice|reason_for_fallback,,,,,,,False,False,False,False,False,False,False,BioApp Figure V2,,
file_0031,visualizations/bioapp_main_figure_v2_tissue_overlay_refinement/fig_bioapp_tissue_image_search_report.json,.json,,11,searched_roots|candidate_images_found|candidate_spatial_metadata_found|alignment_candidates|selected_tissue_image|selected_scalefactors_json|selected_tissue_positions|tissue_image_available|tissue_image_fabricated|external_or_downloaded_image_used|reason_if_no_image_used,,,,,,,False,False,False,False,False,False,True,BioApp Figure V2,,
file_0032,visualizations/bioapp_main_figure_v2_tissue_overlay_refinement/fig_bioapp_v2_layout_report.md,.md,,,,,,,,,,False,False,False,False,False,False,False,BioApp Figure V2,,
file_0033,visualizations/bioapp_main_figure_v2_tissue_overlay_refinement/fig_bioapp_v2_visualization_guardrails.json,.json,,23,phase|decision|layout_only_optimization|SVTuner_rerun|Stage3_rerun|Stage4_run|CytoSPACE_rerun|endpoint_redefined|new_biological_endpoint_introduced|threshold_selected_using_endpoint_labels|new_mapping_or_new_computation_beyond_layout|data_changed|metrics_changed|threshold_changed|endpoint_labels_changed|conclusions_changed|representative_fovs_for_visualization_only|all_quantitative_claims_based_on_full_frozen_analysis_set|real_tissue_image_used|tissue_image_fabricated|external_or_downloaded_image_used|fallback_to_spot_lattice|main_figure_v2_created,,,,,,,False,False,True,False,False,False,False,BioApp Figure V2,,
file_0034,visualizations/bioapp_main_figure_v2_tissue_overlay_refinement/README.md,.md,,,,,,,,,,False,False,False,False,False,False,False,BioApp Figure V2,,
file_0035,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_candidate_reranking_table.csv,.csv,6,16,candidate_id|dataset_name|previous_tier|new_tier|external_endpoint_available|endpoint_independent|endpoint_spatially_registered_or_mappable|ST_mapping_object_available|scRNAseq_reference_available|formal_baseline_mapping_feasible|SVTuner_mapping_feasible|endpoint_specific_metric_feasible|expected_compute_feasibility_on_16GB_RAM|main_blocking_risk|candidate_status|recommendation,,,,,,,False,False,True,False,False,False,True,BioApp Phase 0r,,
file_0036,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_expanded_candidate_search_table.csv,.csv,4,17,candidate_id|dataset_name|source_or_publication|organ_or_disease|endpoint_type|endpoint_description|endpoint_source|ST_data_type|sc_reference_type|same_sample_or_matched_status|formal_mapping_feasibility|estimated_data_size|compute_risk|tier|recommendation|source_link_or_accession|notes,,,,,,,False,False,True,False,False,False,True,BioApp Phase 0r,,
file_0037,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_golden_rules_v2_1_check_schema.json,.json,,5,version|new_rule_id|new_rule|phase2_entry_required_checks|downgrade_if_endpoint_only,,,,,,,False,False,True,False,False,False,False,BioApp Phase 0r,,
file_0038,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_golden_rules_v2_1_update.txt,.txt,,,,,,,,,,False,False,False,False,False,False,False,BioApp Phase 0r,,
file_0039,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_janesick_retirement_record.txt,.txt,,,,,,,,,,False,False,False,False,False,False,False,BioApp Phase 0r,,
file_0040,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_janesick_status_update.json,.json,,11,candidate_id|candidate_name|candidate_status|reason|not_deleted_as_scientific_reference|retired_only_as_current_main_svtuner_biological_application_candidate|endpoint_roi_feasibility_informative|formal_mapping_branch_reliable_enough_for_current_experiment|allowed_future_roles|disallowed_future_roles|historical_status,,,,,,,False,False,True,False,False,False,False,BioApp Phase 0r,,
file_0041,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_recommendation_report.txt,.txt,,,,,,,,,,False,False,False,False,False,False,False,BioApp Phase 0r,,
file_0042,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_recommended_candidates.csv,.csv,1,18,candidate_id|dataset_name|source_or_publication|organ_or_disease|endpoint_type|endpoint_description|endpoint_source|ST_data_type|sc_reference_type|same_sample_or_matched_status|formal_mapping_feasibility|estimated_data_size|compute_risk|tier|recommendation|source_link_or_accession|notes|priority,,,,,,,False,False,True,False,False,False,True,BioApp Phase 0r,,
file_0043,visualizations/bioapp_phase0r_candidate_reranking_after_janesick_mapping_stop/bioapp_phase0r_summary.json,.json,,21,phase|decision|timestamp|janesick_retired_as_main_bioapp_candidate|janesick_retirement_reason|golden_rules_v2_1_mapping_feasibility_gate_added|previous_candidates_re_ranked|expanded_candidates_screened|active_tier1_candidates|tier2_candidates|rejected_or_retired_candidates|recommended_candidate|large_raw_data_downloaded|cytospace_run|svtuner_run|stage4_run|formal_metrics_recomputed|phase0_input_available|phase1_input_available|output_directory|next,,,,,,,False,False,False,False,False,False,False,BioApp Phase 0r,,
file_0044,visualizations/bioapp_phase0_external_endpoint_admission/bioapp_phase0_candidate_dataset_table.csv,.csv,6,25,candidate_id|dataset_name|publication_or_source|organ_or_disease|biological_question_candidate|external_endpoint_type|external_endpoint_description|endpoint_predefined_before_analysis|endpoint_independent_from_SVTuner|endpoint_spatially_registered_or_mappable|endpoint_coordinate_or_roi_available|visium_or_ST_data_available|scRNAseq_reference_available|same_sample_or_matched_sample_status|baseline_mapping_possible|endpoint_specific_metric_possible|spatial_comparison_possible|estimated_data_size|download_required_for_phase1|main_risk|golden_rules_preliminary_status|recommendation|source_link_or_accession|notes|tier,,,,,,,False,False,True,False,False,False,True,BioApp Phase 0,,
file_0045,visualizations/bioapp_phase0_external_endpoint_admission/bioapp_phase0_endpoint_admission_report.txt,.txt,,,,,,,,,,False,False,False,False,False,False,False,BioApp Phase 0,,
file_0046,visualizations/bioapp_phase0_external_endpoint_admission/bioapp_phase0_golden_rules_check.json,.json,,6,T1_XENIUM_JANESICK_BREAST_2023|T2_XENIUM_COSMX_SPATIAL_TOUCHSTONE|T2_MULTI_PLATFORM_TUMOR_BENCHMARK|T3_COSMX_NSCLC_PUBLIC|T3_LOCAL_BREAST_MERSCOPE|T3_LOCAL_BRCA_PATHOLOGY_VISIUM,,,,,,,False,False,False,False,False,False,True,BioApp Phase 0,,
file_0047,visualizations/bioapp_phase0_external_endpoint_admission/bioapp_phase0_readme.txt,.txt,,,,,,,,,,False,False,False,False,False,False,False,BioApp Phase 0,,
