file,type,description,created_by_phase
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/baseline_command_dry_plan.txt,txt,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/bioapp_phase3_golden_rules_v2_1_check.json,json,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/bioapp_phase3_reference_audit_summary.json,json,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/decision.txt,txt,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/endpoint_specific_metric_plan.json,json,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/formal_baseline_feasibility_audit.csv,csv,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/immune_reference_label_audit.csv,csv,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/phase3_st_rdata_gene_inventory.R,R,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/README.md,md,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/reference_dropout_design.json,json,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/reference_file_inventory.csv,csv,BioApp Phase 3 generated output,BioApp Phase 3
visualizations/bioapp_phase3_reference_audit_and_formal_baseline_feasibility_for_cta_endpoint/reference_label_audit.csv,csv,BioApp Phase 3 generated output,BioApp Phase 3
