file,type,description,created_by_phase,status,notes
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/baseline_command_dry_plan_phase3r.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/bioapp_phase3r_golden_rules_v2_1_check.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/bioapp_phase3r_review_resolution_summary.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/control_strategy_resolution.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/control_strategy_resolution.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/cytospace_input_manifest.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/cytospace_input_manifest.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/decision.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/formal_gene_intersection.txt,txt,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/immune_all_dropout_design.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/manifest.csv,csv,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/nonimmune_all_dropout_control_design.json,json,BioApp Phase 3R output artifact,BioApp Phase 3R review resolution for CTA endpoint baseline feasibility,generated,dry plan / audit artifact; no mapping result
