A2M	A2M
ABHD14B	ABHD14B
ABHD5	ABHD5
ABI1	ABI1
ABRACL	ABRACL
ACADM	ACADM
ACADVL	ACADVL
ACAP1	ACAP1
ACAP2	ACAP2
ACKR1	ACKR1
ACP1	ACP1
ACP5	ACP5
ACTA2	ACTA2
ACTB	ACTB
ACTN1	ACTN1
ACTN4	ACTN4
ACTR3	ACTR3
ADAM15	ADAM15
ADAMTS1	ADAMTS1
ADAR	ADAR
ADD3	ADD3
ADGRE5	ADGRE5
ADI1	ADI1
ADIPOR1	ADIPOR1
ADIRF	ADIRF
ADRM1	ADRM1
ADSS	ADSS
AEBP1	AEBP1
AFF4	AFF4
AHNAK	AHNAK
AHR	AHR
AHSA1	AHSA1
AIF1	AIF1
AIMP1	AIMP1
AIP	AIP
AKAP13	AKAP13
AKAP9	AKAP9
AKIRIN1	AKIRIN1
AKIRIN2	AKIRIN2
AKR1A1	AKR1A1
ALG13	ALG13
ALKBH7	ALKBH7
ALOX5AP	ALOX5AP
AMD1	AMD1
ANAPC11	ANAPC11
ANAPC16	ANAPC16
ANAPC5	ANAPC5
ANKRD10	ANKRD10
ANKRD11	ANKRD11
ANKRD12	ANKRD12
ANKRD28	ANKRD28
ANKRD37	ANKRD37
ANKRD44	ANKRD44
ANP32A	ANP32A
ANP32B	ANP32B
ANXA1	ANXA1
ANXA11	ANXA11
ANXA2	ANXA2
ANXA5	ANXA5
ANXA6	ANXA6
ANXA7	ANXA7
AP1S2	AP1S2
AP2M1	AP2M1
AP2S1	AP2S1
APBB1IP	APBB1IP
APEX1	APEX1
APH1A	APH1A
APLP2	APLP2
APMAP	APMAP
APOBEC3G	APOBEC3G
APOC1	APOC1
APOD	APOD
APOE	APOE
APP	APP
APPL1	APPL1
APRT	APRT
AQP1	AQP1
AQP3	AQP3
ARAP2	ARAP2
AREG	AREG
ARF1	ARF1
ARF4	ARF4
ARF5	ARF5
ARGLU1	ARGLU1
ARHGAP15	ARHGAP15
ARHGAP29	ARHGAP29
ARHGAP4	ARHGAP4
ARHGAP9	ARHGAP9
ARHGDIA	ARHGDIA
ARHGDIB	ARHGDIB
ARHGEF1	ARHGEF1
ARID4B	ARID4B
ARID5A	ARID5A
ARID5B	ARID5B
ARIH1	ARIH1
ARIH2	ARIH2
ARL1	ARL1
ARL2BP	ARL2BP
ARL4A	ARL4A
ARL4C	ARL4C
ARL5B	ARL5B
ARL6IP4	ARL6IP4
ARL6IP5	ARL6IP5
ARMCX3	ARMCX3
ARPC1A	ARPC1A
ARPC1B	ARPC1B
ARPC2	ARPC2
ARPC3	ARPC3
