run_name,file_path,file_type,file_size_mb,detected_role,readable,n_rows,n_cols,notes
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/assigned_expression/barcodes.tsv,tsv,0.106289,cytospace_assigned_expression,True,10131.0,1.0,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/assigned_expression/genes.tsv,tsv,0.025526,cytospace_assigned_expression,True,1999.0,1.0,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/assigned_expression/matrix.mtx,mtx,194.113598,cytospace_assigned_expression,False,,,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/assigned_locations.csv,csv,0.925308,cytospace_assignment,True,10132.0,6.0,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/cell_type_assignments_by_spot.csv,csv,0.094443,cytospace_cell_to_spot,True,2247.0,13.0,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/fractional_abundances_by_spot.csv,csv,0.159827,cytospace_spot_composition,True,2247.0,12.0,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/log.txt,txt,0.001891,cytospace_log,True,32.0,1.0,
baseline_full_reference,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_full_reference/cytospace_output/unassigned_locations.csv,csv,7.2e-05,unknown,True,1.0,4.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/assigned_expression/barcodes.tsv,tsv,0.106289,cytospace_assigned_expression,True,10131.0,1.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/assigned_expression/genes.tsv,tsv,0.025526,cytospace_assigned_expression,True,1999.0,1.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/assigned_expression/matrix.mtx,mtx,234.632746,cytospace_assigned_expression,False,,,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/assigned_locations.csv,csv,0.924004,cytospace_assignment,True,10132.0,6.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/cell_type_assignments_by_spot.csv,csv,0.064359,cytospace_cell_to_spot,True,2247.0,6.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/fractional_abundances_by_spot.csv,csv,0.084679,cytospace_spot_composition,True,2247.0,5.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/log.txt,txt,0.001914,cytospace_log,True,32.0,1.0,
baseline_immune_all_dropout,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output/unassigned_locations.csv,csv,7.2e-05,unknown,True,1.0,4.0,
baseline_nonimmune_all_dropout_control,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_nonimmune_all_dropout_control/cytospace_output/assigned_expression/barcodes.tsv,tsv,0.106289,cytospace_assigned_expression,True,10131.0,1.0,
baseline_nonimmune_all_dropout_control,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_nonimmune_all_dropout_control/cytospace_output/assigned_expression/genes.tsv,tsv,0.025526,cytospace_assigned_expression,True,1999.0,1.0,
baseline_nonimmune_all_dropout_control,visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_nonimmune_all_dropout_control/cytospace_output/assigned_expression/matrix.mtx,mtx,167.208732,cytospace_assigned_expression,False,,,
