file_path,role,exists,required_for_phase7,source_phase,read_success,n_rows,n_cols,notes
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/formal_gene_intersection.txt,formal_gene_intersection,True,True,Phase 3R,True,1999.0,1.0,
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_expression_full_2248_data.csv.gz,ST_expression_input,True,True,Phase 3R,True,,,
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/st_coordinates_full_2248.csv,ST_coordinates,True,True,Phase 3R,True,2248.0,3.0,
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/cytospace_input_manifest.json,harmonized_input_manifest,True,True,Phase 3R,True,,,
visualizations/bioapp_phase3r_review_resolution_for_cta_endpoint_baseline_feasibility/immune_all_dropout_design.json,immune_all_dropout_reference_design,True,True,Phase 3R,True,,,
visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/reference_metadata_used.csv,immune_all_dropout_reference_metadata,True,True,Phase 4,True,1600.0,2.0,
visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/inputs/reference_expression_used.csv.gz,immune_all_dropout_reference_expression,True,True,Phase 4,True,,,
visualizations/bioapp_phase4_formal_cytospace_baseline_execution_against_frozen_cta_immune_endpoint/baseline_immune_all_dropout/cytospace_output,baseline_anchor_output_dir,True,True,Phase 4,True,,,
visualizations/bioapp_phase5_endpoint_specific_evaluation_of_cytospace_baselines_against_frozen_cta_immune_endpoint/baseline_endpoint_metric_summary.csv,phase5_baseline_metric_table,True,True,Phase 5,True,3.0,23.0,
visualizations/bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping/spot_level_endpoint_freeze.csv,endpoint_freeze_table,True,True,Phase 2C,True,2248.0,24.0,
visualizations/bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping/primary_endpoint_positive_spots.txt,primary_endpoint_positive_spots,True,True,Phase 2C,True,133.0,1.0,
visualizations/bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping/primary_endpoint_negative_spots.txt,primary_endpoint_negative_spots,True,True,Phase 2C,True,1753.0,1.0,
visualizations/bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping/primary_endpoint_ambiguous_spots.txt,primary_endpoint_ambiguous_spots,True,True,Phase 2C,True,289.0,1.0,
visualizations/bioapp_phase2c_endpoint_freeze_with_validated_cta_to_spot_mapping/primary_endpoint_excluded_spots.txt,primary_endpoint_excluded_spots,True,True,Phase 2C,True,69.0,1.0,
