file,type,description,created_by_phase,status,notes
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/baseline_svtuner_endpoint_comparison_by_spot.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/baseline_svtuner_metric_comparison.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/binary_withheld_endpoint_contingency.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/binary_withheld_endpoint_contingency_plot.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/binary_withheld_endpoint_contingency_plot.svg,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/binary_withheld_enrichment_summary.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/bioapp_phase8_golden_rules_v2_1_check.json,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/bioapp_phase8_svtuner_vs_endpoint_evaluation_summary.json,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/contradiction_prevention_spots.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/contradiction_prevention_summary.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/decision.txt,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_analysis_set_qc.csv,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_baseline_svtuner_three_way_spatial_comparison.pdf,output,Phase 8 output,BioApp Phase 8,generated,
visualizations/bioapp_phase8_svtuner_vs_endpoint_evaluation_and_baseline_svtuner_comparison/endpoint_baseline_svtuner_three_way_spatial_comparison.svg,output,Phase 8 output,BioApp Phase 8,generated,
