n_markers,quantile,region_spots,overlap,precision,recall,median_score_region,marker_genes
8,0.75,603,380,0.753968253968254,0.6301824212271974,1.0858980417251587,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1
8,0.8,482,367,0.7281746031746031,0.7614107883817427,1.2748174667358398,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1
8,0.82,434,361,0.7162698412698413,0.8317972350230415,1.3677860498428345,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1
8,0.85,362,346,0.6865079365079365,0.9558011049723757,1.4417054653167725,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1
8,0.88,289,288,0.5714285714285714,0.9965397923875432,1.4997105598449707,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1
8,0.9,241,241,0.4781746031746032,1.0,1.5437573194503784,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1
10,0.75,603,379,0.751984126984127,0.6285240464344942,1.1304768323898315,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
10,0.8,482,367,0.7281746031746031,0.7614107883817427,1.3030418157577515,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
10,0.82,434,359,0.7123015873015873,0.8271889400921659,1.373875379562378,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
10,0.85,362,346,0.6865079365079365,0.9558011049723757,1.4470515251159668,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
10,0.88,289,289,0.5734126984126984,1.0,1.520266056060791,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
10,0.9,241,241,0.4781746031746032,1.0,1.5526517629623413,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
15,0.75,603,389,0.7718253968253969,0.6451077943615257,1.070108413696289,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
15,0.8,482,375,0.7440476190476191,0.7780082987551867,1.237722635269165,Lef1;Synpo2;Prkcd;Ntng1;Vav3;Ptpn3;Tcf7l2;Amotl1;Cit;Ccdc136
