method,stage4_dir,known_rank,state,state_marker_genes_used,n_state_marker_genes_used,tumor_high_minus_low_score,n_assigned_cells,n_tumor_high_assignments,n_tumor_low_assignments,predicted_rank
CytoSPACE,stage4_cytospace_baseline,1,Temra,GZMB;GZMH;NKG7;PRF1;KLRG1;EOMES,6,0.0927400216460228,1200,600,600,12.0
CytoSPACE,stage4_cytospace_baseline,2,CREM+ Tm,CCR7,1,-0.0904986560344696,1200,600,600,2.5
CytoSPACE,stage4_cytospace_baseline,3,TNF+,TNF,1,0.4837324917316437,1200,600,600,16.0
CytoSPACE,stage4_cytospace_baseline,4,AREG+ Tm,,0,,1200,600,600,
CytoSPACE,stage4_cytospace_baseline,5,CCL5+ Tm,CCL5,1,0.03271225094795227,1200,600,600,9.0
CytoSPACE,stage4_cytospace_baseline,6,Tn,CCR7;SELL,2,-0.061175525188446045,1200,600,600,4.0
CytoSPACE,stage4_cytospace_baseline,7,CCR6+ Th17,CCR6;RORC;IL17A,3,0.06719130277633667,1200,600,600,11.0
CytoSPACE,stage4_cytospace_baseline,8,ADSL+ Tn,CCR7,1,-0.0904986560344696,1200,600,600,2.5
CytoSPACE,stage4_cytospace_baseline,9,CXCR5+ Tfh,CXCR5;ICOS;IL21,3,0.030705146491527557,1200,600,600,7.5
CytoSPACE,stage4_cytospace_baseline,10,CAPG+CREM- Tm,,0,,1200,600,600,
CytoSPACE,stage4_cytospace_baseline,11,IL26+ Th17,CCR6;RORC,2,0.059466294944286346,1200,600,600,10.0
CytoSPACE,stage4_cytospace_baseline,12,TIMP1+ Tm,,0,,1200,600,600,
CytoSPACE,stage4_cytospace_baseline,13,GZMK+ Tem,GZMK;CCL5,2,0.027641162276268005,1200,600,600,6.0
CytoSPACE,stage4_cytospace_baseline,14,IL21+ Tfh,IL21;CXCR5;ICOS,3,0.030705146491527557,1200,600,600,7.5
CytoSPACE,stage4_cytospace_baseline,15,NME1+CCR4+,CCR4,1,-0.18542098999023438,1200,600,600,1.0
CytoSPACE,stage4_cytospace_baseline,16,CAPG+ Tm,,0,,1200,600,600,
CytoSPACE,stage4_cytospace_baseline,17,TNFRSF9- Treg,FOXP3;IL2RA;CTLA4,3,0.14175981283187866,1200,600,600,13.5
CytoSPACE,stage4_cytospace_baseline,18,S1PR1+ Treg,FOXP3;IL2RA;CTLA4,3,0.14175981283187866,1200,600,600,13.5
CytoSPACE,stage4_cytospace_baseline,19,NME1+CCR4-,,0,,1200,600,600,
CytoSPACE,stage4_cytospace_baseline,20,TNFRSF9+ Treg,TNFRSF9;FOXP3;IL2RA;CTLA4,4,0.14905083179473877,1200,600,600,15.0
CytoSPACE,stage4_cytospace_baseline,21,IFNG+ Th,IFNG,1,0.007863014936447144,1200,600,600,5.0
CytoSPACE,stage4_cytospace_baseline,22,ISG+ Th,STAT1;IFNAR1;IFNGR1;IFNGR2;NLRC5;TAP1,6,0.6380860209465027,1200,600,600,18.0
CytoSPACE,stage4_cytospace_baseline,23,ISG+ Treg,STAT1;IFNAR1;IFNGR1;IFNGR2;NLRC5;TAP1;FOXP3;IL2RA,8,0.4916853606700897,1200,600,600,17.0
SVTuner + CytoSPACE,stage4_cytospace_route2,1,Temra,GZMB;GZMH;NKG7;PRF1;KLRG1;EOMES,6,-0.016977667808532715,1200,600,600,6.0
SVTuner + CytoSPACE,stage4_cytospace_route2,2,CREM+ Tm,CCR7,1,-0.2885454297065735,1200,600,600,1.5
SVTuner + CytoSPACE,stage4_cytospace_route2,3,TNF+,TNF,1,0.3659605085849762,1200,600,600,13.0
SVTuner + CytoSPACE,stage4_cytospace_route2,4,AREG+ Tm,,0,,1200,600,600,
SVTuner + CytoSPACE,stage4_cytospace_route2,5,CCL5+ Tm,CCL5,1,-0.054026126861572266,1200,600,600,5.0
SVTuner + CytoSPACE,stage4_cytospace_route2,6,Tn,CCR7;SELL,2,-0.18345484137535095,1200,600,600,3.0
SVTuner + CytoSPACE,stage4_cytospace_route2,7,CCR6+ Th17,CCR6;RORC;IL17A,3,0.017450615763664246,1200,600,600,9.0
SVTuner + CytoSPACE,stage4_cytospace_route2,8,ADSL+ Tn,CCR7,1,-0.2885454297065735,1200,600,600,1.5
SVTuner + CytoSPACE,stage4_cytospace_route2,9,CXCR5+ Tfh,CXCR5;ICOS;IL21,3,0.03512062877416611,1200,600,600,10.5
SVTuner + CytoSPACE,stage4_cytospace_route2,10,CAPG+CREM- Tm,,0,,1200,600,600,
SVTuner + CytoSPACE,stage4_cytospace_route2,11,IL26+ Th17,CCR6;RORC,2,0.012526474893093109,1200,600,600,8.0
SVTuner + CytoSPACE,stage4_cytospace_route2,12,TIMP1+ Tm,,0,,1200,600,600,
SVTuner + CytoSPACE,stage4_cytospace_route2,13,GZMK+ Tem,GZMK;CCL5,2,-0.000801771879196167,1200,600,600,7.0
SVTuner + CytoSPACE,stage4_cytospace_route2,14,IL21+ Tfh,IL21;CXCR5;ICOS,3,0.03512062877416611,1200,600,600,10.5
SVTuner + CytoSPACE,stage4_cytospace_route2,15,NME1+CCR4+,CCR4,1,-0.14779582619667053,1200,600,600,4.0
SVTuner + CytoSPACE,stage4_cytospace_route2,16,CAPG+ Tm,,0,,1200,600,600,
SVTuner + CytoSPACE,stage4_cytospace_route2,17,TNFRSF9- Treg,FOXP3;IL2RA;CTLA4,3,0.4630628228187561,1200,600,600,15.5
SVTuner + CytoSPACE,stage4_cytospace_route2,18,S1PR1+ Treg,FOXP3;IL2RA;CTLA4,3,0.4630628228187561,1200,600,600,15.5
SVTuner + CytoSPACE,stage4_cytospace_route2,19,NME1+CCR4-,,0,,1200,600,600,
SVTuner + CytoSPACE,stage4_cytospace_route2,20,TNFRSF9+ Treg,TNFRSF9;FOXP3;IL2RA;CTLA4,4,0.4104727804660797,1200,600,600,14.0
SVTuner + CytoSPACE,stage4_cytospace_route2,21,IFNG+ Th,IFNG,1,0.10409970581531525,1200,600,600,12.0
SVTuner + CytoSPACE,stage4_cytospace_route2,22,ISG+ Th,STAT1;IFNAR1;IFNGR1;IFNGR2;NLRC5;TAP1,6,1.002110481262207,1200,600,600,18.0
SVTuner + CytoSPACE,stage4_cytospace_route2,23,ISG+ Treg,STAT1;IFNAR1;IFNGR1;IFNGR2;NLRC5;TAP1;FOXP3;IL2RA,8,0.8508465886116028,1200,600,600,17.0
