method,stage4_dir,known_rank,state,state_marker_genes_used,n_state_marker_genes_used,tumor_high_minus_low_score,n_assigned_cells,n_tumor_high_assignments,n_tumor_low_assignments,predicted_rank
CytoSPACE,stage4_cytospace_baseline,1,Temra,GZMB;GZMH;NKG7;PRF1;KLRG1;EOMES,6,0.0957363024353981,3600,1800,1800,12.0
CytoSPACE,stage4_cytospace_baseline,2,CREM+ Tm,CCR7,1,-0.04479408264160156,3600,1800,1800,7.5
CytoSPACE,stage4_cytospace_baseline,3,TNF+,TNF,1,0.45836591720581055,3600,1800,1800,16.0
CytoSPACE,stage4_cytospace_baseline,4,AREG+ Tm,,0,,3600,1800,1800,
CytoSPACE,stage4_cytospace_baseline,5,CCL5+ Tm,CCL5,1,-0.0019562244415283203,3600,1800,1800,10.0
CytoSPACE,stage4_cytospace_baseline,6,Tn,CCR7;SELL,2,-0.0308217853307724,3600,1800,1800,9.0
CytoSPACE,stage4_cytospace_baseline,7,CCR6+ Th17,CCR6;RORC;IL17A,3,-0.09898066520690918,3600,1800,1800,3.0
CytoSPACE,stage4_cytospace_baseline,8,ADSL+ Tn,CCR7,1,-0.04479408264160156,3600,1800,1800,7.5
CytoSPACE,stage4_cytospace_baseline,9,CXCR5+ Tfh,CXCR5;ICOS;IL21,3,-0.04609560966491699,3600,1800,1800,5.5
CytoSPACE,stage4_cytospace_baseline,10,CAPG+CREM- Tm,,0,,3600,1800,1800,
CytoSPACE,stage4_cytospace_baseline,11,IL26+ Th17,CCR6;RORC,2,-0.05572676658630371,3600,1800,1800,4.0
CytoSPACE,stage4_cytospace_baseline,12,TIMP1+ Tm,,0,,3600,1800,1800,
CytoSPACE,stage4_cytospace_baseline,13,GZMK+ Tem,GZMK;CCL5,2,0.019228577613830566,3600,1800,1800,11.0
CytoSPACE,stage4_cytospace_baseline,14,IL21+ Tfh,IL21;CXCR5;ICOS,3,-0.04609560966491699,3600,1800,1800,5.5
CytoSPACE,stage4_cytospace_baseline,15,NME1+CCR4+,CCR4,1,-0.16989435255527496,3600,1800,1800,1.0
CytoSPACE,stage4_cytospace_baseline,16,CAPG+ Tm,,0,,3600,1800,1800,
CytoSPACE,stage4_cytospace_baseline,17,TNFRSF9- Treg,FOXP3;IL2RA;CTLA4,3,0.14020225405693054,3600,1800,1800,13.5
CytoSPACE,stage4_cytospace_baseline,18,S1PR1+ Treg,FOXP3;IL2RA;CTLA4,3,0.14020225405693054,3600,1800,1800,13.5
CytoSPACE,stage4_cytospace_baseline,19,NME1+CCR4-,,0,,3600,1800,1800,
CytoSPACE,stage4_cytospace_baseline,20,TNFRSF9+ Treg,TNFRSF9;FOXP3;IL2RA;CTLA4,4,0.14680695533752441,3600,1800,1800,15.0
CytoSPACE,stage4_cytospace_baseline,21,IFNG+ Th,IFNG,1,-0.16140270233154297,3600,1800,1800,2.0
CytoSPACE,stage4_cytospace_baseline,22,ISG+ Th,STAT1;IFNAR1;IFNGR1;IFNGR2;NLRC5;TAP1,6,0.6582352519035339,3600,1800,1800,18.0
CytoSPACE,stage4_cytospace_baseline,23,ISG+ Treg,STAT1;IFNAR1;IFNGR1;IFNGR2;NLRC5;TAP1;FOXP3;IL2RA,8,0.5015016794204712,3600,1800,1800,17.0
SVTuner + CytoSPACE,stage4_cytospace_route2,1,Temra,GZMB;GZMH;NKG7;PRF1;KLRG1;EOMES,6,-0.01972617208957672,3600,1800,1800,6.0
SVTuner + CytoSPACE,stage4_cytospace_route2,2,CREM+ Tm,CCR7,1,-0.29147690534591675,3600,1800,1800,1.5
SVTuner + CytoSPACE,stage4_cytospace_route2,3,TNF+,TNF,1,0.3746531307697296,3600,1800,1800,13.0
