cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
Epithelial cells,484.871224894439,441.5790012445789,0.9107139763567424,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
NK cells,225.3342505743991,209.3071973851139,0.9288743138318712,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
PCs,644.7740191715238,436.7619805585125,0.6773876855641796,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
PVL,239.4365290816532,218.98164616891933,0.9145707507906686,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
T cells CD4,263.4115791719182,205.76185730091692,0.7811420361540916,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
T cells CD8,276.1723971060666,211.59595055115187,0.7661734219944017,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
Epithelial cells,484.871224894439,378.5696430563057,0.7807632699563144,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
NK cells,225.3342505743991,207.0451383071508,0.9188356309765269,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
PCs,644.7740191715238,371.62756998119704,0.5763687104804638,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
PVL,239.4365290816532,230.3896949954143,0.9622161492194296,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
T cells CD4,263.4115791719182,203.63368644232492,0.7730627753057937,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
T cells CD8,276.1723971060666,202.14261639321955,0.7319435921598811,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
Epithelial cells,484.871224894439,267.7075868274741,0.5521210026141611,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
NK cells,225.3342505743991,143.7738128926619,0.6380468682686647,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
PCs,644.7740191715238,356.5114826014124,0.5529247023003461,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
PVL,239.4365290816532,129.92176616900764,0.5426146405785118,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
T cells CD4,263.4115791719182,161.20547602067953,0.6119908491777696,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
T cells CD8,276.1723971060666,147.77952957054026,0.5350988408656355,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)"
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
Epithelial cells,484.871224894439,390.69445642704727,0.8057695247064931,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
NK cells,225.3342505743991,167.82032382539404,0.7447617190800048,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
PCs,644.7740191715238,397.18641142350066,0.6160087094294667,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
PVL,239.4365290816532,173.67063006397672,0.7253305530700838,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
T cells CD4,263.4115791719182,175.96968590394553,0.6680408145197639,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
T cells CD8,276.1723971060666,172.71497045328414,0.6253882439487655,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)"
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
Epithelial cells,484.871224894439,421.1097495999081,0.8684981248198171,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
NK cells,225.3342505743991,200.05809766159683,0.8878281803659636,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
PCs,644.7740191715238,209.12475947044703,0.3243380676832379,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
PVL,239.4365290816532,230.88832489100002,0.9642986631010758,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
T cells CD4,263.4115791719182,195.02219083658156,0.74037060728184,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
T cells CD8,276.1723971060666,196.7408109692748,0.7123840507989458,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc
Epithelial cells,484.871224894439,359.16312202168217,0.7407391975052249,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc
NK cells,225.3342505743991,101.2024768315051,0.44912158969854804,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc
PCs,644.7740191715238,177.33024352962946,0.27502696798714493,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc
PVL,239.4365290816532,204.59438076769771,0.8544827372515347,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc
T cells CD4,263.4115791719182,118.59489525480117,0.45022658315790676,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc
