group,sample,method,composition_recovery
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE,0.6846654619575827
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE,0.6328071283461526
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)",0.4793088379991167
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)",0.5869962184659048
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc,0.5770230077159684
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc,0.4277565042323898
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CellTrek,0.6557528332705074
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,CytoSPACE,0.5491771337894046
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,SVTuner + CytoSPACE,0.5601999117129188
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,"Tangram
(all genes)",0.39471435477666517
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,"Tangram
(marker genes)",0.4430639362599212
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,novoSpaRc,0.45585428135631045
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,SpaOTsc,0.3173214495021652
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,CellTrek,0.6124168651063684
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,CytoSPACE,0.37706633509531473
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,SVTuner + CytoSPACE,0.4217825743886007
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,"Tangram
(all genes)",0.2748018868363223
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,"Tangram
(marker genes)",0.29829480598189756
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,novoSpaRc,0.34748796014129757
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,SpaOTsc,0.2680417621556133
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,CellTrek,0.6431064125007153
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,CytoSPACE,0.5934967512928554
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,SVTuner + CytoSPACE,0.5628439256156906
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,"Tangram
(all genes)",0.6222385309906611
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,"Tangram
(marker genes)",0.6206051396689493
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,novoSpaRc,0.6200985407266579
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,SpaOTsc,0.40865948058498713
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,CellTrek,0.5402870429935075
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,CytoSPACE,0.49016512886369284
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,SVTuner + CytoSPACE,0.5190831275112001
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,"Tangram
(all genes)",0.463867778934074
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,"Tangram
(marker genes)",0.45172253216541886
