group,sample,method,composition_recovery
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CytoSPACE,0.8071103151728433
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SVTuner + CytoSPACE,0.7459776915616163
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(all genes)",0.5650279279409063
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,"Tangram
(marker genes)",0.6919740065997886
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,novoSpaRc,0.6802171972981312
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,SpaOTsc,0.5042560288657103
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells,CellTrek,0.7730269822917312
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,CytoSPACE,0.6473913964802062
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,SVTuner + CytoSPACE,0.6603854764480942
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,"Tangram
(all genes)",0.46530465605226723
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,"Tangram
(marker genes)",0.5223010259843077
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,novoSpaRc,0.5373787829846393
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,SpaOTsc,0.37407088475957484
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells,CellTrek,0.7219408550270765
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,CytoSPACE,0.4445004830383907
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,SVTuner + CytoSPACE,0.49721372767345345
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,"Tangram
(all genes)",0.3239471680963762
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,"Tangram
(marker genes)",0.35164153626517686
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,novoSpaRc,0.4096323425261177
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,SpaOTsc,0.3159780698070385
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_pcs_sc_missing_endothelial_cells,CellTrek,0.7581188888936335
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,CytoSPACE,0.6714904323089068
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,SVTuner + CytoSPACE,0.6388356296611792
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,"Tangram
(all genes)",0.7034621596955652
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,"Tangram
(marker genes)",0.701505947994121
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,novoSpaRc,0.7015975323957091
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,SpaOTsc,0.46154295204523726
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_sc_missing_b_cell,CellTrek,0.6132332563194527
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,CytoSPACE,0.5562205360242255
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,SVTuner + CytoSPACE,0.5890355876802976
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,"Tangram
(all genes)",0.5260693397779401
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,"Tangram
(marker genes)",0.5120154930637412
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,novoSpaRc,0.5405822962412813
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,SpaOTsc,0.35607836223188477
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_sc_missing_b_cell,CellTrek,0.689416434565175
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,CytoSPACE,0.417343786810549
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,SVTuner + CytoSPACE,0.5152921583586637
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,"Tangram
(all genes)",0.38411693798900903
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,"Tangram
(marker genes)",0.37041540920969296
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,novoSpaRc,0.4081692810382872
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,SpaOTsc,0.27937911128984666
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast_sc_missing_b_cell,CellTrek,0.5545226964203838
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,CytoSPACE,0.8409225322971751
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,SVTuner + CytoSPACE,0.7407787096759886
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,"Tangram
(all genes)",0.7959087599608882
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,"Tangram
(marker genes)",0.8568114851786363
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,novoSpaRc,0.8432753349975577
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,SpaOTsc,0.8446844451769335
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_sc_missing_ext_l56,CellTrek,0.6712868262825916
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,CytoSPACE,0.8365909142822777
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,SVTuner + CytoSPACE,0.7897814572336251
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,"Tangram
(all genes)",0.6913196321844899
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,"Tangram
(marker genes)",0.7190504703557867
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,novoSpaRc,0.8458306586395815
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,SpaOTsc,0.786326334133338
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_inh_pvalb_sc_missing_ext_l56,CellTrek,0.6954303162249461
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,CytoSPACE,0.6217257274923532
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,SVTuner + CytoSPACE,0.6734656025121528
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,"Tangram
(all genes)",0.4921222876312048
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,"Tangram
(marker genes)",0.5089256009148841
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,novoSpaRc,0.6239688573720654
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,SpaOTsc,0.65548112919879
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_inh_pvalb_sc_missing_ext_l56,CellTrek,0.4218185654897923
