cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
Epithelial cells,484.871224894439,443.46992412992734,0.9146138218997732,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
NK cells,225.3342505743991,208.95122564388566,0.9272945640143408,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
PCs,644.7740191715238,401.14337028514046,0.6221456795057799,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
PVL,239.4365290816532,212.0681951678727,0.8856969150916513,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
T cells CD4,263.4115791719182,182.93814709879797,0.6944954647548032,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
T cells CD8,276.17239710606657,194.81372024612884,0.7054061965914313,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
Epithelial cells,484.871224894439,379.29813473856126,0.7822657135843398,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
NK cells,225.3342505743991,206.45740917817642,0.9162273762284084,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
PCs,644.7740191715238,363.17972640989865,0.5632666881903085,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
PVL,239.4365290816532,225.29371884562352,0.940932946654908,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
T cells CD4,263.4115791719182,187.47010757922826,0.7117003290765513,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
T cells CD8,276.1723971060666,193.60914556947853,0.7010445200108869,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner
Endothelial cells,384.0,0.0,0.0,real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,"Tangram
(all genes)"
