group,sample,method,composition_recovery,all_spots,predicted_blank_spots,correct_abstention_spots,incorrect_abstention_spots,truth_unsupported_spots,raw_composition_overlap,abstention_credit,abstention_truth_rule,method_key,prediction_path,reused_mapping,provenance_verified
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CytoSPACE,0.6526547190515302,2518,0,0,0,0,0.6526547190515302,0.0,not_applicable,cytospace_baseline,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SVTuner,0.7693837340432751,2518,382,382,0,384,0.6176760295158724,0.1517077045274027,target_dominant,cytospace_route2,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,"Tangram
(all genes)",0.5469631973180077,2518,0,0,0,0,0.5469631973180077,0.0,not_applicable,tangram_all,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,"Tangram
(marker genes)",0.5933849648999028,2518,0,0,0,0,0.5933849648999028,0.0,not_applicable,tangram_marker,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_marker\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,novoSpaRc,0.5753032024845159,2518,0,0,0,0,0.5753032024845159,0.0,not_applicable,novosparc,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_mapping\novosparc\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,SpaOTsc,0.3892702925856336,2518,0,0,0,0,0.3892702925856336,0.0,not_applicable,spaotsc,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_mapping\spaotsc\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05,CellTrek,0.5105390205401085,2518,0,0,0,0,0.5105390205401085,0.0,not_applicable,celltrek,V:\result\real_brca7_endothelial_marker_control_sc_missing_endothelial_cells_scnoise05\stage4_mapping\celltrek\spot_type_fraction.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,CytoSPACE,0.519654396530947,2518,0,0,0,0,0.519654396530947,0.0,not_applicable,cytospace_baseline,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_baseline\cytospace_output\fractional_abundances_by_spot.csv,True,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,SVTuner,0.681771372842978,2518,382,382,0,384,0.5300636683155753,0.1517077045274027,target_dominant,cytospace_route2,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage4_cytospace_scnoise05_stage3ab_full\cytospace_output\fractional_abundances_by_spot.csv,False,True
real_brca,real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05,"Tangram
(all genes)",0.41860786413329193,2518,0,0,0,0,0.41860786413329193,0.0,not_applicable,tangram_all,V:\result\real_brca7_endothelial_marker_missing_epithelial_cells_sc_missing_endothelial_cells_scnoise05\stage4_mapping\tangram_all\spot_type_fraction.csv,True,True
