group,sample,method,composition_recovery
real_brca,real_brca7_candidate_stable_control,CytoSPACE,0.7331150186667016
real_brca,real_brca7_candidate_stable_control,SVTuner + CytoSPACE,0.7331150186667016
real_brca,real_brca7_candidate_stable_control,"Tangram
(all genes)",0.635325674720905
real_brca,real_brca7_candidate_stable_control,"Tangram
(marker genes)",0.6809355455075888
real_brca,real_brca7_candidate_stable_control,novoSpaRc,0.7369991466779373
real_brca,real_brca7_candidate_stable_control,SpaOTsc,0.49470702551170814
real_brca,real_brca7_candidate_stable_control,CellTrek,0.6941138736390949
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CytoSPACE,0.5975148497326227
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SVTuner + CytoSPACE,0.6595829660855839
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(all genes)",0.5102365624890665
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,"Tangram
(marker genes)",0.521671690770151
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,novoSpaRc,0.6018616363564478
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,SpaOTsc,0.3813518882634269
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells,CellTrek,0.6605379188182405
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CytoSPACE,0.4556552377612067
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SVTuner + CytoSPACE,0.5395768532445546
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(all genes)",0.3641900628956072
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,"Tangram
(marker genes)",0.36284558612353357
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,novoSpaRc,0.4410442122007439
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,SpaOTsc,0.306303903148678
real_brca,real_brca7_candidate_stable_control_missing_epithelial_cells_pcs,CellTrek,0.40699773289424557
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CytoSPACE,0.6187633121277375
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SVTuner + CytoSPACE,0.6187633121277375
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(all genes)",0.6740461627897051
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,"Tangram
(marker genes)",0.6824880763533595
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,novoSpaRc,0.6431352039950412
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,SpaOTsc,0.408124643288332
human_lung_5loc,human_lung_5loc_fine9_clustered_sim,CellTrek,0.6594889451679588
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CytoSPACE,0.5157467330784692
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SVTuner + CytoSPACE,0.5795483121425566
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(all genes)",0.4986495767430049
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,"Tangram
(marker genes)",0.5046559182006072
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,novoSpaRc,0.5007593407825395
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,SpaOTsc,0.32171787537694685
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2,CellTrek,0.6177834685386131
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CytoSPACE,0.40147747947835244
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SVTuner + CytoSPACE,0.5233069671995936
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(all genes)",0.369816370494767
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,"Tangram
(marker genes)",0.37617772038996145
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,novoSpaRc,0.3830583000531421
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,SpaOTsc,0.25340445640884474
human_lung_5loc,human_lung_5loc_fine9_clustered_sim_missing_at2_fibroblast,CellTrek,0.473283320303044
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CytoSPACE,0.701829887948924
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SVTuner + CytoSPACE,0.701829887948924
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(all genes)",0.6908681005718845
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,"Tangram
(marker genes)",0.7185806713608369
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,novoSpaRc,0.7113122103200039
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,SpaOTsc,0.715039726169015
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim,CellTrek,0.6948206007294014
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,CytoSPACE,0.55485328458717
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,SVTuner + CytoSPACE,0.6232430893977345
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,"Tangram
(all genes)",0.5346684223018823
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,"Tangram
(marker genes)",0.5607057762593616
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,novoSpaRc,0.5635933448957503
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,SpaOTsc,0.5884916070009071
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_fill_ext_l56,CellTrek,0.6384421198796514
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_ext_l56,CytoSPACE,0.3926229510420258
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_ext_l56,SVTuner + CytoSPACE,0.47345742489493586
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_ext_l56,"Tangram
(all genes)",0.3509319918007176
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_ext_l56,"Tangram
(marker genes)",0.35914441137979203
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_ext_l56,novoSpaRc,0.4006010510722844
mouse_brain_refined,mouse_brain_refined7_balanced_clustered_sim_missing_micro_oligo_2_fill_ext_l56,SpaOTsc,0.4534251205213791
