cell_type,truth_mass,recovered_mass,composition_recovery,group,sample,method
B cells,141.08877473643497,100.30965631232834,0.710968370798561,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
Dendritic cells,46.45844192049306,23.507078935686017,0.5059807854924407,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
Endothelial cells,198.021134352338,147.4857860282187,0.7447982080831735,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
Epithelial cells,291.02282122296583,215.62467041858167,0.7409201433497953,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
Fibroblasts,209.82397535561654,162.16705107447007,0.7728718836807092,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
Monocytes and Macrophages,330.23048534393246,231.8296075829359,0.7020236406747462,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
NK cells,264.0410682355366,169.28134342083922,0.64111747673219,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
PCs,113.99714196626825,74.57125715817479,0.6541502345755337,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
PVL,128.31135884671232,99.70746919630417,0.7770743766763479,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
T cells CD4,361.05132195501176,215.32407037612603,0.5963807837904999,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
T cells CD8,433.9534760646902,219.0450857887979,0.5047662891773782,real_brca,real_brca_clustered_sim_scnoise10,CytoSPACE
B cells,141.08877473643497,100.30965631232834,0.710968370798561,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
Dendritic cells,46.45844192049306,23.507078935686017,0.5059807854924407,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
Endothelial cells,198.021134352338,147.4857860282187,0.7447982080831735,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
Epithelial cells,291.02282122296583,215.62467041858167,0.7409201433497953,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
Fibroblasts,209.82397535561654,162.16705107447007,0.7728718836807092,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
Monocytes and Macrophages,330.23048534393246,231.8296075829359,0.7020236406747462,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
NK cells,264.0410682355366,169.28134342083922,0.64111747673219,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
PCs,113.99714196626825,74.57125715817479,0.6541502345755337,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
PVL,128.31135884671232,99.70746919630417,0.7770743766763479,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
T cells CD4,361.05132195501176,215.32407037612603,0.5963807837904999,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
T cells CD8,433.9534760646902,219.0450857887979,0.5047662891773782,real_brca,real_brca_clustered_sim_scnoise10,SVTuner + CytoSPACE
B cells,141.08877473643497,96.86384371959869,0.686545360540185,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
Dendritic cells,46.45844192049305,23.03614549232916,0.4958441252023091,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
Endothelial cells,198.02113435233804,133.6645429620073,0.6750014002251832,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
Epithelial cells,291.02282122296583,220.8956738348187,0.7590321367463497,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
Fibroblasts,209.82397535561654,132.94271082667996,0.6335916122138298,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
Monocytes and Macrophages,330.23048534393246,237.00337609119748,0.7176907844966534,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
NK cells,264.0410682355366,162.55898334940798,0.6156579521349231,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
PCs,113.99714196626825,73.17747257668796,0.6419237475123821,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
PVL,128.31135884671235,82.61124250405189,0.6438342111452792,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
T cells CD4,361.05132195501176,206.06655784148467,0.5707403499471504,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
T cells CD8,433.9534760646901,211.2958453770499,0.4869089822558575,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(all genes)"
B cells,141.08877473643497,113.01324269193715,0.8010080384003253,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
Dendritic cells,46.45844192049305,25.077336129117242,0.5397799644687504,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
Endothelial cells,198.02113435233804,164.61388620731216,0.8312945319988698,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
Epithelial cells,291.02282122296583,263.90607471361454,0.9068226113835385,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
Fibroblasts,209.82397535561654,164.4710774704007,0.7838526421570735,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
Monocytes and Macrophages,330.23048534393246,248.64514725476803,0.7529442564813665,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
NK cells,264.0410682355366,190.18747061386557,0.7202950354836836,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
PCs,113.99714196626825,95.77245640571714,0.8401303291801492,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
PVL,128.31135884671235,101.34626456116084,0.7898463976383769,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
T cells CD4,361.05132195501176,230.50962327756497,0.6384400478840714,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
T cells CD8,433.9534760646901,229.5514417020651,0.5289770778742316,real_brca,real_brca_clustered_sim_scnoise10,"Tangram
(marker genes)"
B cells,141.08877473643497,105.30679556373292,0.7463867749964826,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
Dendritic cells,46.45844192049305,26.51462370480528,0.5707170238334994,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
Endothelial cells,198.02113435233804,157.699538418261,0.796377310603963,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
Epithelial cells,291.02282122296583,217.14898415124173,0.7461579241061442,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
Fibroblasts,209.82397535561654,178.25988638075475,0.8495687210130971,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
Monocytes and Macrophages,330.23048534393246,259.2494221186206,0.7850559945990885,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
NK cells,264.0410682355366,195.72536790741844,0.7412686564834775,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
PCs,113.99714196626825,101.10602011125023,0.8869171486875302,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
PVL,128.31135884671235,105.70906815381791,0.8238480918910979,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
T cells CD4,361.05132195501176,257.6423879175028,0.7135893770515149,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
T cells CD8,433.9534760646901,237.22042323913936,0.5466494366870253,real_brca,real_brca_clustered_sim_scnoise10,novoSpaRc
B cells,141.08877473643497,54.33276296153005,0.3850962846833702,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
Dendritic cells,46.45844192049305,9.389009658157896,0.20209480279656897,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
Endothelial cells,198.02113435233804,126.1590745180514,0.6370990396084549,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
Epithelial cells,291.02282122296583,232.57159993959266,0.7991524477780008,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
Fibroblasts,209.82397535561654,167.15245061462218,0.7966317973497868,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
Monocytes and Macrophages,330.23048534393246,267.16996991238125,0.8090409025506105,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
NK cells,264.0410682355366,128.9275176518404,0.4882858508087507,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
PCs,113.99714196626825,53.89417521099047,0.47276777541438497,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
PVL,128.31135884671235,74.40516871461568,0.579879828125771,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
T cells CD4,361.05132195501176,173.47819760040494,0.4804807157637853,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
T cells CD8,433.9534760646901,173.11541275579012,0.39892620362368875,real_brca,real_brca_clustered_sim_scnoise10,SpaOTsc
B cells,141.08877473643497,25.126764745991842,0.1780918772094423,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
Dendritic cells,46.45844192049305,2.030134024745648,0.04369784996707231,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
Endothelial cells,198.02113435233804,151.3216530981955,0.7641692064491945,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
Epithelial cells,291.02282122296583,25.076485589063452,0.0861667325046348,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
Fibroblasts,209.82397535561654,132.36094369325798,0.6308189684659645,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
Monocytes and Macrophages,330.23048534393246,101.3997652707594,0.30705755455966566,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
NK cells,264.0410682355366,87.84151011534898,0.33268124046896513,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
PCs,113.99714196626825,37.59939135644866,0.32982749135565453,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
PVL,128.31135884671235,66.16822193664655,0.5156848351648637,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
T cells CD4,361.05132195501176,153.8745226403911,0.4261846260725349,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
T cells CD8,433.9534760646901,102.73231283693411,0.23673577584528818,real_brca,real_brca_clustered_sim_scnoise10,CellTrek
B cells,141.08877477471268,100.58147813116751,0.7128949719194437,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
Dendritic cells,46.45844191453838,22.11725847833464,0.4760654375585811,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
Endothelial cells,198.02113432956222,149.8917912891581,0.7569484529853087,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
Fibroblasts,209.82397538232385,160.79305314842645,0.766323547418462,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
Monocytes and Macrophages,330.2304853219973,229.3017552839417,0.6943688286693362,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
NK cells,264.0410682011351,173.67908574583026,0.6577730007270272,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
PCs,405.0199632393395,126.87578883533627,0.3132581115769872,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
PVL,128.31135884359531,99.29561363432785,0.7738645629601967,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
T cells CD4,361.05132193100206,213.54059177731835,0.5914411021547972,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
T cells CD8,433.9534760617935,212.01917070724767,0.4885758091659044,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,CytoSPACE
B cells,141.08877477471268,103.39449896267223,0.7328329211715829,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
Dendritic cells,46.45844191453839,21.812010373361137,0.46949509011698976,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
Endothelial cells,198.02113432956224,158.29554110162255,0.79938710399555,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
Fibroblasts,209.82397538232385,173.29154072890674,0.8258900843583259,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
Monocytes and Macrophages,330.2304853219973,243.1944466200569,0.7364385101603375,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
NK cells,264.0410682011351,187.6195977935358,0.7105697574689983,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
PCs,405.0199632393395,149.75064142963402,0.3697364451666336,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
PVL,128.31135884359531,103.22974683420777,0.8045253963839578,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
T cells CD4,361.05132193100206,235.0011474381126,0.6508801745448864,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
T cells CD8,433.9534760617935,236.41141619229563,0.5447851653079775,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,SVTuner + CytoSPACE
B cells,141.0887747747127,93.9016728421462,0.6655502749392092,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
Dendritic cells,46.4584419145384,21.733086108139204,0.46779627582254746,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
Endothelial cells,198.02113432956224,133.48836998842296,0.6741117327722261,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
Fibroblasts,209.82397538232385,132.98623818433057,0.6337990591495279,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
Monocytes and Macrophages,330.2304853219973,236.86448167655288,0.7172701861416393,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
NK cells,264.0410682011351,170.75055560203924,0.6466818088766738,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
PCs,405.0199632393395,148.3955479917904,0.36639070036184523,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
PVL,128.31135884359531,81.91553166277168,0.6384121593055712,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
T cells CD4,361.05132193100206,203.8478678360322,0.5645952679131532,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
T cells CD8,433.9534760617935,203.01160065401842,0.4678188143493757,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(all genes)"
B cells,141.0887747747127,105.87932185073343,0.7504446900173248,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
Dendritic cells,46.4584419145384,21.583662219549353,0.46457998439235443,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
Endothelial cells,198.02113432956224,167.48673530947693,0.8458023224467163,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
Fibroblasts,209.82397538232385,164.4909614374951,0.7839474070480902,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
Monocytes and Macrophages,330.2304853219973,249.38745374486314,0.7551921001529986,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
NK cells,264.0410682011351,187.731489239426,0.7109935227819191,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
PCs,405.0199632393395,155.2549952949347,0.3833267724711867,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
PVL,128.31135884359531,102.82731476202312,0.8013890250150348,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
T cells CD4,361.05132193100206,224.18947371378044,0.6209351970095367,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
T cells CD8,433.9534760617935,219.4322323864962,0.5056584276680613,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,"Tangram
(marker genes)"
B cells,141.0887747747127,101.21463826497265,0.7173826438466834,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
Dendritic cells,46.4584419145384,26.565262276302796,0.5718069995797608,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
Endothelial cells,198.02113432956224,163.33328320718752,0.8248275304561962,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
Fibroblasts,209.82397538232385,180.68282851003647,0.861116219825743,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
Monocytes and Macrophages,330.2304853219973,255.2315493304685,0.772889120402074,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
NK cells,264.0410682011351,206.0947157677258,0.7805403802212001,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
PCs,405.0199632393395,142.38073462262534,0.35154004134479644,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
PVL,128.31135884359531,106.29719104484236,0.8284316525274504,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
T cells CD4,361.05132193100206,259.54000386562706,0.7188451837748039,real_brca,real_brca_clustered_sim_missing_epithelial_cells_scnoise10,novoSpaRc
