receiver,sender,significant_genes,l1_norm
B cells,CD4 T cells,222,1.47128932375568
B cells,CD8 T cells,23,0.12191513826587702
B cells,DC,53,0.3461254073209466
B cells,Endo,141,0.6165595590474101
B cells,FDC,79,0.3164376047141674
B cells,ILC,2,0.004319543222752832
B cells,Macrophages,80,0.46653018223492865
B cells,Mast,18,0.06318773548556135
B cells,Monocytes,23,0.10962881756264634
B cells,NK,12,0.054915583118618466
B cells,NKT,7,0.035907531943216844
B cells,T TIM,306,1.7201892019235103
B cells,T TfR,101,0.6039255796160539
B cells,T Treg,4,0.017645274900631218
B cells,VSMC,178,0.6570274066461212
CD4 T cells,B cells,287,2.4767673245520623
CD4 T cells,CD8 T cells,9,0.153713468257551
CD4 T cells,DC,24,0.18085411292069645
CD4 T cells,Endo,71,0.345927769917073
CD4 T cells,FDC,92,0.7030240926765468
CD4 T cells,ILC,0,0.0
CD4 T cells,Macrophages,48,0.3786453621172425
CD4 T cells,Mast,10,0.02373576589278579
CD4 T cells,Monocytes,1,0.002143570266169764
CD4 T cells,NK,8,0.05460058957952475
CD4 T cells,NKT,4,0.05469741117121451
CD4 T cells,T TIM,265,2.6144678184611982
CD4 T cells,T TfR,35,0.29753313104407053
CD4 T cells,T Treg,4,0.03832908707360999
CD4 T cells,VSMC,144,0.7094469745928537
CD8 T cells,B cells,192,6.4588368455129075
CD8 T cells,CD4 T cells,164,7.2468988517471
CD8 T cells,DC,25,0.732018122208384
CD8 T cells,Endo,99,2.3114194509101234
CD8 T cells,FDC,41,1.535697692835273
CD8 T cells,ILC,0,0.0
CD8 T cells,Macrophages,53,2.1252525445207975
CD8 T cells,Mast,9,0.11963306680108304
CD8 T cells,Monocytes,9,0.2687395830779705
CD8 T cells,NK,7,0.29297875848861876
CD8 T cells,NKT,5,0.4504579086225936
CD8 T cells,T TIM,141,5.056389003912184
CD8 T cells,T TfR,37,1.478326375873581
CD8 T cells,T Treg,2,0.09167307143526726
CD8 T cells,VSMC,127,3.121202844115131
DC,B cells,274,7.301894563268361
DC,CD4 T cells,220,6.84691994032719
DC,CD8 T cells,6,0.08474283192604484
DC,Endo,188,4.068480777885795
DC,FDC,37,0.7696334413797551
DC,ILC,1,0.004223066399119275
DC,Macrophages,96,3.8826979503724717
DC,Mast,37,1.010185137524467
DC,Monocytes,28,0.7599516601800989
DC,NK,12,0.3306518928025254
DC,NKT,5,0.06051114026524522
DC,T TIM,208,5.99887383137479
DC,T TfR,51,1.2084741099438525
DC,T Treg,1,0.015980355049686756
DC,VSMC,225,5.218121601414277
Endo,B cells,164,4.503454059773447
Endo,CD4 T cells,31,0.7326664802670446
Endo,CD8 T cells,1,0.01311510998477905
Endo,DC,36,1.1750173520085536
Endo,FDC,35,0.880924947499282
Endo,ILC,0,0.0
Endo,Macrophages,68,2.2163784710812475
Endo,Mast,32,0.7558418032893444
Endo,Monocytes,20,0.5786165215466719
Endo,NK,9,0.21704872088257982
Endo,NKT,4,0.13052716770481068
Endo,T TIM,25,0.4089154178901727
Endo,T TfR,31,0.8121080634598101
Endo,T Treg,1,0.015959134715240325
Endo,VSMC,235,7.558821333399839
FDC,B cells,491,19.199381973866977
FDC,CD4 T cells,127,4.586635075723943
FDC,CD8 T cells,7,0.466627998944217
FDC,DC,48,2.005386513174412
FDC,Endo,177,4.050175200405366
FDC,ILC,2,0.04137037502953951
FDC,Macrophages,127,5.1616509455505515
FDC,Mast,29,0.9149547714307109
FDC,Monocytes,20,0.5658046063358454
FDC,NK,12,0.27048015915638646
FDC,NKT,4,0.12873582046803725
FDC,T TIM,300,9.041796023340376
FDC,T TfR,55,1.4128240524576314
FDC,T Treg,0,0.0
FDC,VSMC,216,5.215834404168658
ILC,B cells,177,11.425843674010032
ILC,CD4 T cells,66,7.046282300532467
ILC,CD8 T cells,9,0.6471185276613027
ILC,DC,26,1.3393644566677818
ILC,Endo,127,6.760639971982791
ILC,FDC,38,2.024459145851778
ILC,Macrophages,58,3.9664303565833583
ILC,Mast,16,0.6900507746020526
ILC,Monocytes,18,1.2589457304891682
ILC,NK,14,1.0170914968066977
ILC,NKT,5,0.4055917674763435
ILC,T TIM,64,3.7487947224971467
ILC,T TfR,45,3.252298407319657
ILC,T Treg,0,0.0
ILC,VSMC,167,8.930899706418836
Macrophages,B cells,236,3.977160428927529
Macrophages,CD4 T cells,27,0.40356393927919015
Macrophages,CD8 T cells,4,0.05368041242386925
Macrophages,DC,37,0.5342186222622267
Macrophages,Endo,172,2.6768892348612603
Macrophages,FDC,48,0.8011289696965421
Macrophages,ILC,1,0.0017001337708677034
Macrophages,Mast,17,0.23566342604112808
Macrophages,Monocytes,24,0.45288906870082846
Macrophages,NK,9,0.15192202650132355
Macrophages,NKT,3,0.036055402828643696
Macrophages,T TIM,51,0.7844369848777865
Macrophages,T TfR,25,0.4074374923027251
Macrophages,T Treg,2,0.019280560821464676
Macrophages,VSMC,211,3.021951936114022
Mast,B cells,295,24.198863462953906
Mast,CD4 T cells,91,10.665470371933054
Mast,CD8 T cells,4,0.2825603133679513
Mast,DC,30,3.0868580374204955
Mast,Endo,148,8.56473878740235
Mast,FDC,53,3.330271260881151
Mast,ILC,1,0.0398148683473552
Mast,Macrophages,78,9.280921777201304
Mast,Monocytes,21,1.2586757575549483
Mast,NK,16,0.7577412299784427
Mast,NKT,2,0.13359716280489342
Mast,T TIM,117,6.996892883191079
Mast,T TfR,46,4.08383473739131
Mast,T Treg,1,0.0490021130566578
Mast,VSMC,161,8.431501908408713
Monocytes,B cells,188,7.935396845138621
Monocytes,CD4 T cells,22,1.0729968552440607
Monocytes,CD8 T cells,7,0.34223978526188736
Monocytes,DC,53,2.4269626685585264
Monocytes,Endo,228,12.818217275317723
Monocytes,FDC,46,1.9190979545630575
Monocytes,ILC,1,0.06908402253279541
Monocytes,Macrophages,85,5.042206451534414
Monocytes,Mast,35,1.2443718552071448
Monocytes,NK,11,0.41517635987511
Monocytes,NKT,3,0.2641605566000514
Monocytes,T TIM,33,1.4613271553828886
Monocytes,T TfR,51,2.644151487246432
Monocytes,T Treg,1,0.02741455621931438
Monocytes,VSMC,208,8.30371783138543
NK,B cells,282,12.21779380510607
NK,CD4 T cells,83,3.2211608268621434
NK,CD8 T cells,6,0.18770434157496635
NK,DC,39,1.6296757038183238
NK,Endo,163,4.7786768705356835
NK,FDC,40,1.1294566849390464
NK,ILC,2,0.03781307945140697
NK,Macrophages,55,2.53077072819405
NK,Mast,32,1.0130162171977155
