,CD4 T cells,CD8 T cells,DC,Endo,FDC,ILC,Macrophages,Mast,Monocytes,NK,NKT,T TIM,T TfR,T Treg,VSMC
SELE,0.0,0.0,0.0,0.002301807001919065,0.007334306217622308,0.0,0.001973049238000915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL13,0.04256611957503792,0.0,0.0,0.0,0.03024395467629115,0.0,0.009196921123896529,0.0,0.0,0.0,0.0,0.0,0.011895827183733887,0.0,0.01131251149532203
EXOC3L4,0.0,0.0,0.0,0.0,-0.009269698337621701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL14,0.0,0.0,0.0,0.0,0.014959678916486974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017683579804411265
ISG15,-0.013214522974261463,-0.007029248406404454,-0.005007657789911871,-0.005864869594468636,-0.00840897979249039,0.0,-0.004526284505202913,0.0,-0.006890300367687174,-0.005941187325909064,0.0,-0.02596473176327907,-0.014733026384315118,0.0,0.0
IGFBP3,0.004089437430810992,0.0,0.0,0.012197080037878727,0.008844735472055443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164073186088578
LTF,0.0,0.0,0.0,0.0,0.008138319348918843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNFAIP2,0.0,0.0,-0.008977925407264248,0.0,-0.0062415264276415305,0.0,-0.012485840071428278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062435426694027185
CCL19,0.0,0.0,-0.03579875902874974,0.0,-0.011757925673075043,0.0,-0.026018900705062298,-0.01742977055304512,0.0,0.0,0.0,0.0,0.0,0.0,-0.03144442292587746
CYR61,0.0,0.0,0.0,0.0,0.00852632927514202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FDCSP,0.0,0.0,0.0,0.0,0.012563134960875466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
