,B cells,CD4 T cells,CD8 T cells,DC,Endo,ILC,Macrophages,Mast,Monocytes,NK,NKT,T TIM,T TfR,T Treg,VSMC
SELE,1.8156920999147014e-05,4.41045366310208e-05,1.2815073726143454e-05,0.00022472127429230213,0.0259837723074453,3.114387064955965e-05,0.008623414471795805,0.006744425278673631,0.0002481031272149614,4.341531575827889e-05,0.00010701833953023299,-0.00043913148768119214,0.000417834044700536,7.683013020017946e-06,0.0
CXCL13,0.001076130534434977,-0.008189331134926925,0.00032898643554740096,0.0,0.0,0.0002244460962170441,0.040048862059710436,0.020663805436342525,0.0,0.0,0.0,0.06891355946083849,0.0341670480294059,-1.1458639203327744e-05,0.0316107760269177
EXOC3L4,5.180885534664814e-05,4.4407077378764525e-05,0.0,0.0,0.0,0.0,0.002781350386555557,0.0,0.0,9.432711497098451e-05,-4.4225348694725605e-05,0.0,0.00018103578483810376,2.1766116555416517e-05,0.0
CXCL14,-0.0001321323052148133,-8.032354785068006e-05,-4.95143621532088e-05,-0.0006614339000374188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018101725979638513,-0.000930832818627248,0.0,-0.11617201203173
ISG15,0.00685022610890125,0.005590525116309836,0.0,0.0,0.0,0.0021924982716616612,0.004216515203027359,0.002424304099451189,0.013013304000836251,0.0,0.0,-0.0012740727500037859,0.020685511270999213,0.0054240128930560065,0.0
IGFBP3,-6.790719937117742e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTF,8.65509078749431e-05,0.0,0.0,3.06438763933675e-05,0.008147554388028656,0.0,0.0,0.0007757991690502675,0.0002591233872191352,0.0,0.0,0.0006201052511823767,0.0,0.0,0.0
TNFAIP2,2.7587057705818346e-05,0.00017231779654152204,0.00015158012614993794,0.0,0.005570121842958263,0.0,0.04277814024657439,0.0,0.0,0.0,0.0,0.00015833016539299177,0.0004390581554945148,0.0,0.014354421849700955
CCL19,-0.00011606479474288015,0.001257311063659788,0.0,0.0,0.0,0.0,-0.006930416196113565,0.02191738597879539,0.0,0.0,0.0,-0.0033983872851820057,0.002543773179065024,0.0,0.0
CYR61,-0.00022242997186063023,2.7602033104801775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016280531232014742,0.0,0.0
FDCSP,0.00029504354775993814,0.00012678302915097774,2.369872331932138e-05,0.0004712355753582315,0.0,6.400842249470193e-06,0.008994660576937374,0.003395627212401553,0.0005310505754090554,3.8094521722549513e-06,0.0,0.0,0.0004068477899934926,0.0,0.0
