gene,fold_change,pvalue_adjusted,negative_log10_qvalue,significant,direction
CFH,0.00028674856567789675,0.9999999974159123,1.1222550396861084e-09,False,other
SEMA3F,-0.0003091668283479428,0.9999999974159123,1.1222550396861084e-09,False,other
CD99,0.00020540457737784623,0.9999999974159123,1.1222550396861084e-09,False,other
TMEM176A,0.0009105349533800322,0.9999999974159123,1.1222550396861084e-09,False,other
CYP26B1,0.0005193308109004459,0.9999999974159123,1.1222550396861084e-09,False,other
ICA1,-0.0010537067537033824,0.9999999974159123,1.1222550396861084e-09,False,other
TFPI,-7.658195555610824e-05,0.9999999974159123,1.1222550396861084e-09,False,other
AK2,5.030684214251541e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CD38,-0.00039586256732560346,0.9999999974159123,1.1222550396861084e-09,False,other
HSPB6,-0.00018275476174965753,0.9999999974159123,1.1222550396861084e-09,False,other
NDUFAB1,7.826955145520675e-06,0.9999999974159123,1.1222550396861084e-09,False,other
SKAP2,0.0003605475850449319,0.9999999974159123,1.1222550396861084e-09,False,other
THSD7A,-9.553393573296667e-05,0.9999999974159123,1.1222550396861084e-09,False,other
SPPL2B,-0.000838088380533078,0.9999999974159123,1.1222550396861084e-09,False,other
MSL3,-0.00015146107876732803,0.9999999974159123,1.1222550396861084e-09,False,other
ABCB4,9.264599079999124e-05,0.9999999974159123,1.1222550396861084e-09,False,other
MYCBP2,-0.0006238949706203964,0.9999999974159123,1.1222550396861084e-09,False,other
TMEM98,2.632472658419048e-05,0.9999999974159123,1.1222550396861084e-09,False,other
CX3CL1,-6.053461036251411e-05,0.9999999974159123,1.1222550396861084e-09,False,other
FARP2,-0.00022028581191319702,0.9999999974159123,1.1222550396861084e-09,False,other
PAFAH1B1,-0.00019552489311010918,0.9999999974159123,1.1222550396861084e-09,False,other
CD79B,0.00030170336673307485,0.9999999974159123,1.1222550396861084e-09,False,other
SELE,0.007334306217622308,6.149617609107185e-41,40.211151888357556,True,other
E2F2,0.0011237934384784598,0.6753910439755544,0.17044470262537056,False,other
NADK,-0.00014167222689492887,0.9999999974159123,1.1222550396861084e-09,False,other
SYPL1,-0.00034545977708233533,0.9999999974159123,1.1222550396861084e-09,False,other
MGST1,1.5173061515055743e-05,0.9999999974159123,1.1222550396861084e-09,False,other
RHOBTB2,0.0006121863766268901,0.9999999974159123,1.1222550396861084e-09,False,other
SEC62,0.0006729666782691601,0.9999999974159123,1.1222550396861084e-09,False,other
ZNF207,2.3412131039401984e-08,0.9999999974159123,1.1222550396861084e-09,False,other
CD9,0.0030175600010365344,0.006109139430795112,2.2140199627164274,True,other
NCAPD2,0.0006273302630732114,0.9999999974159123,1.1222550396861084e-09,False,other
SEMA3G,-6.947323186824901e-05,0.9999999974159123,1.1222550396861084e-09,False,other
STAB1,1.4593037255667546e-05,0.9999999974159123,1.1222550396861084e-09,False,other
IDS,0.00044983025495942686,0.9999999974159123,1.1222550396861084e-09,False,other
CD4,-5.434373460811055e-05,0.9999999974159123,1.1222550396861084e-09,False,other
BTK,-8.771965735100695e-05,0.9999999974159123,1.1222550396861084e-09,False,other
