,B cells,CD4 T cells,CD8 T cells,DC,Endo,FDC,ILC,Macrophages,Mast,Monocytes,NK,NKT,T TIM,T TfR,T Treg,VSMC
B cells,1.0,0.43742908167903655,0.15201626988987926,-0.07698995207928512,-0.04720513930130228,0.0718910433050361,0.0037382072638715677,0.005989252115539839,-0.01376017477413743,0.13231758690682485,-0.0634680709599648,0.01363009902414269,-0.34274969046119663,0.03705719921268957,0.1585058274302558,-0.05713063947015273
CD4 T cells,0.43742908167903655,1.0,0.6397345528475873,0.18357708270678688,0.1767084831782745,0.47663220986608,0.19879724771250204,0.2934546354617933,0.15245291685153928,0.2895322405217959,0.2132627983872336,0.28788149441774186,-0.03904672183725868,0.474141675098186,0.612749925523776,0.18966347729002692
CD8 T cells,0.15201626988987924,0.6397345528475872,0.9999999999999999,0.23575042514566794,0.20905135821597376,0.2895255346556006,0.3979393497341467,0.2700248000138276,0.14538550211912232,0.27112492298681734,0.6110229829049939,0.7355102997264478,0.3118647746968425,0.6267331080026305,0.6908506226102539,0.17202185096629627
DC,-0.07698995207928513,0.18357708270678688,0.2357504251456679,1.0,0.19678857655272333,0.4102883305956533,0.21194264629858597,0.6438954096422745,0.4712837798231344,0.3037763720215265,0.23456491736358465,0.16813331926018396,0.4149923370558109,0.29902644386357824,0.20417227623525538,0.3989236040567291
Endo,-0.04720513930130228,0.1767084831782745,0.20905135821597376,0.19678857655272336,1.0,0.3363846388900347,0.22885964066222572,0.3405405151646919,0.25141892804146704,0.3097056319532331,0.20415656511980948,0.17427480483771904,0.15375334371932073,0.23290794419258448,0.18157927989967163,0.5172285471736575
FDC,0.0718910433050361,0.47663220986607996,0.2895255346556006,0.41028833059565323,0.3363846388900347,0.9999999999999999,0.15166052976851915,0.5315011173849551,0.39551316279313825,0.3197199311794652,0.1408996520786003,0.15090916830784284,0.20859154212134426,0.30404705276431,0.23646060044441433,0.5249888688208056
ILC,0.0037382072638715677,0.198797247712502,0.39793934973414663,0.21194264629858597,0.2288596406622257,0.15166052976851915,1.0,0.21361641769696071,0.1290401941901816,0.20990744080984125,0.42388690732351325,0.5770430274804623,0.34725114979162724,0.4916560873339927,0.3399159879750358,0.1680751772174295
Macrophages,0.0059892521155398394,0.2934546354617933,0.27002480001382756,0.6438954096422747,0.3405405151646919,0.5315011173849551,0.21361641769696071,1.0,0.5110398228795222,0.5407890520934602,0.21074042701684445,0.19168308995596142,0.29239851037030234,0.31315505813147204,0.22529701236096836,0.526671991331732
Mast,-0.01376017477413743,0.15245291685153928,0.14538550211912232,0.4712837798231344,0.25141892804146704,0.3955131627931382,0.1290401941901816,0.5110398228795222,0.9999999999999999,0.2049960172848566,0.0984889076063087,0.1447793757218162,0.30815064185910823,0.22046606725093854,0.11877466182906997,0.5588120085590206
Monocytes,0.13231758690682485,0.28953224052179594,0.27112492298681734,0.30377637202152646,0.30970563195323314,0.31971993117946523,0.20990744080984122,0.5407890520934602,0.2049960172848566,1.0,0.2524121285408426,0.2766308767744714,0.06674373722065302,0.23380093316679765,0.25345854755133307,0.28942670782974184
NK,-0.0634680709599648,0.2132627983872336,0.6110229829049939,0.23456491736358465,0.20415656511980948,0.1408996520786003,0.42388690732351325,0.21074042701684448,0.0984889076063087,0.25241212854084255,1.0,0.6017023572597189,0.40043549482217955,0.5175689798114349,0.43101283323633993,0.141197411071718
NKT,0.013630099024142688,0.2878814944177418,0.7355102997264478,0.16813331926018396,0.17427480483771907,0.15090916830784287,0.5770430274804623,0.19168308995596142,0.14477937572181623,0.2766308767744714,0.6017023572597189,1.0,0.27660354018405336,0.5443079519137705,0.4285145649179589,0.16256326010829172
T TIM,-0.34274969046119663,-0.03904672183725868,0.3118647746968425,0.4149923370558109,0.15375334371932076,0.20859154212134426,0.34725114979162724,0.29239851037030234,0.30815064185910823,0.06674373722065302,0.4004354948221796,0.27660354018405336,1.0,0.5445123287487682,0.3102863866016637,0.1968956194881445
T TfR,0.03705719921268958,0.474141675098186,0.6267331080026304,0.29902644386357824,0.23290794419258448,0.30404705276430993,0.4916560873339927,0.3131550581314721,0.22046606725093856,0.23380093316679765,0.5175689798114348,0.5443079519137705,0.5445123287487682,1.0,0.7077656768938713,0.2188066126381013
T Treg,0.1585058274302558,0.612749925523776,0.6908506226102539,0.20417227623525538,0.18157927989967163,0.23646060044441433,0.3399159879750358,0.22529701236096836,0.11877466182906997,0.25345854755133307,0.43101283323633993,0.4285145649179589,0.3102863866016637,0.7077656768938713,1.0,0.14545661903582957
VSMC,-0.05713063947015274,0.1896634772900269,0.17202185096629627,0.3989236040567291,0.5172285471736575,0.5249888688208056,0.1680751772174295,0.526671991331732,0.5588120085590206,0.28942670782974184,0.141197411071718,0.1625632601082917,0.1968956194881445,0.21880661263810128,0.14545661903582954,1.0
