,0,1,2,3,4
B cells,9.430901,6.606959,12.794951,20.138144,3.64587
CD4 T cells,5.2530413,6.7438655,6.572003,6.15104,13.127865
CD8 T cells,1.8867732,1.9589936,1.9067471,1.303621,2.9394124
DC,1.1074412,0.9460352,1.3225051,0.75792986,0.7736694
Endo,1.0391852,0.85263264,1.1340367,0.8015477,0.54260373
FDC,0.4724536,0.33629555,0.8827172,2.1955094,0.2959001
ILC,0.45707947,0.30426967,0.44600844,0.5157718,0.14709526
Macrophages,1.838391,1.4944476,2.1738493,2.2978122,1.3045745
Mast,0.45127594,0.31811655,0.40397093,0.3095646,0.23203099
Monocytes,0.62188363,0.452539,0.71167177,0.39606136,0.20534217
NK,1.3757511,1.0063964,1.1974317,1.0733753,0.6286927
NKT,1.2933942,0.93465894,1.2654406,0.6571325,0.5873111
T TIM,1.5100814,1.2633075,1.7801313,4.812481,1.1090271
T TfR,5.6124806,4.3864126,6.0820913,4.836803,3.674848
T Treg,0.6906586,0.7645411,0.69250286,0.50765973,1.3212277
VSMC,0.8201564,0.7215961,0.8824529,0.6519375,0.58936065
