umap_1,umap_2,subcluster
5.756225,-3.8911955,2
-2.9293504,4.591979,4
9.156548,-4.917202,3
10.0582905,-3.1708186,3
12.08599,-4.5580764,3
10.167793,-4.8055906,3
0.5674078,1.2172874,1
4.2019,-2.9013586,0
6.07903,-4.441625,2
2.8997588,-1.1258287,0
6.2315,-2.8839114,2
10.412163,-4.3633885,3
1.9854776,3.0169942,1
10.077354,-4.25387,3
11.629075,-4.513659,3
9.866173,-4.1367846,3
6.980151,-1.5192685,2
10.319119,-3.5452652,3
12.721253,-2.0556338,3
6.94497,-2.355212,2
9.574614,-4.24121,3
11.252745,-4.398977,3
2.118457,2.1246476,1
5.4257417,-2.044415,0
7.9514437,-0.2270077,0
-5.2633853,4.9436345,4
6.902241,-4.1081963,2
8.134518,-3.142154,2
11.03047,-4.489297,3
6.5479803,-2.8622038,2
0.8672032,2.8677452,4
7.4354086,-3.5310652,2
3.4311059,-2.7845063,0
6.08372,-2.0458243,2
9.495858,-3.5822012,3
9.826902,-3.5971832,3
5.58982,-3.5331411,0
9.485349,-3.87118,3
3.0961099,2.086139,1
2.6582725,0.83523345,1
1.0513468,2.7208765,4
4.763418,0.28695768,0
7.5565147,-2.585967,2
0.3388241,1.1487174,1
-0.43775108,3.6656966,4
5.1827745,-3.6457448,0
9.734666,-4.2595177,3
11.729082,-4.5315485,3
0.031163711,2.3313498,4
4.5660424,0.7899428,0
4.9529433,-0.10987278,0
7.163216,-3.4995677,2
4.9082527,-0.22296622,0
10.622354,-3.6707792,3
3.8880107,-2.4205093,0
5.1442647,-0.5656058,0
1.6404171,2.6257896,1
0.36124307,2.664753,4
4.0607295,1.4722505,1
7.843765,-3.4334083,2
5.164814,-4.088666,0
7.622711,-2.2673664,2
6.6312685,-3.1284866,2
0.7538783,0.39713278,1
7.0417995,-3.6270092,2
3.7765558,-0.22216986,1
1.9503878,-0.26787168,1
3.937507,-1.9440061,0
10.135094,-4.155502,3
7.1171875,-3.229408,2
-2.489968,4.2109294,4
9.0662,-4.275759,3
11.55229,-4.125969,3
7.068492,-1.0623989,2
2.3060029,-1.3778131,0
9.139352,-1.2350078,2
9.55776,-4.1246367,3
12.918353,-2.8619542,3
-0.37464875,3.2435257,4
4.211773,-1.1563796,0
0.22362986,4.0402045,4
5.383045,-0.49097097,0
1.7429923,3.3123002,4
8.528979,-2.7335467,2
0.3441221,1.8404542,4
7.724681,-3.8401458,2
6.0187864,-2.0688996,2
3.5887635,1.4071801,1
-1.6132686,4.3020134,4
8.150357,-3.993456,3
3.4369202,-1.7304468,0
7.2484837,-2.2506719,2
9.724632,-2.1731064,3
12.671796,-2.8334968,3
7.6865892,0.34507048,0
6.878466,-2.2770681,2
4.2840686,-1.7558639,0
1.8240224,1.9315884,1
9.634946,-3.8054311,3
5.3369255,-2.5655355,0
5.6580033,-3.8478854,0
4.3650193,-3.1682968,0
13.915489,-2.836232,3
0.96914726,-0.113963775,1
0.5601133,1.9011457,4
3.8234537,-0.45398235,0
3.59956,-1.1396154,0
2.54912,0.63497746,1
3.8583713,-2.2392986,0
-1.9295455,4.5445194,4
9.408909,-4.3317413,3
0.30190697,2.1980815,4
4.4996257,-0.96527827,0
1.438771,1.7345644,1
4.4189415,-3.371682,0
-2.0258038,4.4891815,4
3.6008463,-1.8766509,0
4.616964,0.6621606,0
1.0534219,2.7120798,4
12.548819,-2.7279372,3
-0.2884934,2.9114025,4
-1.5577875,4.3715763,4
4.1477704,-2.035382,0
10.709382,-3.1273725,3
7.6836376,-1.3056471,2
9.786214,-3.0223417,3
7.116793,-1.1161867,2
-0.9683685,3.7978277,4
11.011908,-4.665788,3
3.315201,-0.758686,1
9.778028,-3.8530917,3
-3.1696033,4.5715585,4
7.606612,-3.0409958,2
6.1242332,-2.2771451,2
-4.761339,4.9405284,4
6.5427513,-3.9387197,2
-0.14198038,2.8418877,4
3.5182476,-0.12809724,1
3.898892,-0.9541287,0
8.638917,-4.4157734,3
6.4748135,-0.039961994,0
2.6027575,1.7006794,1
6.8524694,-0.39735708,2
4.0248446,-0.14202088,0
11.094908,-3.5934727,3
2.907206,1.3050368,1
1.4395945,2.332203,1
1.3779589,-0.16463284,1
5.7612457,-0.281341,0
5.539327,-1.926778,0
-0.7103696,3.5176656,4
1.4283437,0.74463505,1
10.45459,-3.484671,3
4.7682576,-2.7995198,0
1.759885,-1.1945814,1
2.580391,1.1830231,1
-0.34109986,1.8642206,4
12.244798,-2.3885539,3
7.260485,-2.0446804,2
4.6888933,-1.8903683,0
5.5845017,0.8099952,0
2.1349711,-0.6348754,1
9.0607195,-2.673767,3
5.3245406,-1.1723627,0
12.716994,-2.62117,3
-1.0099005,3.8863747,4
5.4894853,-2.5801532,0
8.857881,-2.9195964,3
4.5711813,0.9833204,0
5.976478,0.28545505,0
0.6422602,1.0694089,1
0.053551763,3.5117295,4
4.5548415,-2.3838158,0
1.6737102,0.20258024,1
6.6312866,-1.0962274,2
8.411895,-3.1077123,3
4.590695,-2.3350403,0
0.0972683,2.8251889,4
0.5527556,0.22203407,1
-1.2677927,3.202023,4
0.066221505,3.0931728,4
3.4850593,-1.1500175,0
0.46306568,0.53731304,1
11.503858,-1.9192308,3
4.951131,-0.8461685,0
-0.71206886,4.2966228,4
2.6940558,-0.30203223,1
0.3635167,3.180396,4
4.320816,-2.7229877,0
1.3212637,1.8760335,1
3.8181727,-2.0654767,0
4.7010813,-0.01654702,0
10.137373,-3.8405232,3
10.201444,-3.3400297,3
4.7896953,-0.8462126,0
4.036157,-3.5400794,0
2.7056692,-0.2182516,1
3.3279405,-2.120305,0
7.6760983,-1.2003479,2
4.3160977,1.9909353,1
7.8272195,-2.7153244,2
-0.93561965,4.2851214,4
5.4489803,-3.1557896,0
4.224444,-1.1231575,0
-2.059346,4.1620884,4
1.7832168,1.1415317,1
5.0894475,1.4573699,0
3.7660177,1.3693415,1
3.5678444,-1.1855974,0
8.076845,-2.6769476,2
6.8971443,-0.9337545,2
5.3301244,-4.345288,0
13.459352,-2.406019,3
4.6149945,1.5326765,0
-1.7134342,4.3105745,4
5.120727,-3.2024734,0
4.2522316,-1.200474,0
0.6547997,2.3513482,4
4.1577907,0.10983935,0
7.6639223,-2.5305777,2
10.4941225,-2.568781,3
-0.58476484,2.5039032,4
6.8906965,-1.3858331,2
9.751288,-4.177642,3
11.229167,-4.675681,3
