,0,1,2,3
B cells,16.239748,7.676973,8.732542,6.584979
CD4 T cells,5.9793983,7.4940352,10.892307,4.034093
CD8 T cells,1.2839091,2.2948422,2.684537,1.7236618
DC,0.7529779,1.102931,1.2414027,0.9152015
Endo,0.80049133,0.9582906,0.9207986,0.92037153
FDC,1.8361396,0.25184008,0.56302184,0.09155224
ILC,0.41558716,0.3836074,0.32669297,0.40542516
Macrophages,2.0643477,1.6837416,1.9396201,1.4270327
Mast,0.26657745,0.42171404,0.334563,0.43736416
Monocytes,0.42544293,0.5416845,0.52388334,0.49865285
NK,0.9021444,1.2262064,0.96866465,1.4029305
NKT,0.6831007,1.180038,1.0436648,1.1388775
T TIM,3.5395684,1.3454641,1.6448363,0.9334251
T TfR,4.538979,5.227946,5.239318,5.0795608
T Treg,0.48811644,0.8879841,1.1194793,0.6466794
VSMC,0.6411938,0.8126341,0.82275295,0.7030865
