umap_1,umap_2,subcluster
-4.1290483,-5.220064,1
-2.5152423,-2.6695023,2
-4.4924283,-2.649534,1
2.8518338,1.5414096,0
2.7886217,1.2448043,0
-0.7562125,-0.7985641,2
-4.2937818,-3.4770157,1
-5.169423,-4.384648,1
-2.3737912,-4.635602,1
-5.7999654,-4.9536443,1
-9.2453785,-4.9519973,3
3.0637538,0.34821022,0
-3.5081792,-0.57907003,2
3.1892502,2.0655725,0
2.5979948,1.3210089,0
0.79387724,0.810977,0
-1.6955135,-0.937198,2
4.469955,2.7183824,0
4.4901633,4.066483,0
-2.6209128,-1.5242147,2
2.0170188,-0.4331825,0
3.385468,1.6527423,0
-11.572857,-5.3505034,3
-1.644679,-2.3140602,2
-1.9492561,-0.6143303,2
-9.789647,-4.2482643,3
-6.665071,-5.0376406,1
1.0783957,-0.45806062,0
-5.53677,-1.8928616,1
-4.5218487,-3.2451372,1
-1.7772409,-2.174513,2
-3.483484,-2.5214217,2
-7.336306,-5.9003396,3
0.19027574,-1.203003,0
1.0369558,1.174683,0
3.4209993,1.2684968,0
-7.51406,-5.826677,3
2.871119,1.3995004,0
-1.2903236,-0.5280416,2
-2.253845,-2.7673242,2
-7.8024187,-3.4423258,3
1.6910093,0.32105973,0
0.7670857,0.80763924,0
-6.8405633,-4.9227104,1
-5.625727,-2.9577038,1
-6.467632,-5.718812,1
2.9244268,0.7041569,0
2.9904912,0.9781671,0
-10.800524,-5.3643947,3
2.4307227,0.21332404,0
-5.79844,-2.536773,1
-2.3499599,-2.1575568,2
-1.9073538,-2.232077,2
3.9627187,2.5933726,0
-7.6737227,-4.6497445,3
-2.1862948,-1.5113658,2
-1.8388736,-2.0614192,2
-2.6526046,-2.3583348,2
-2.740007,-1.2892545,2
-5.6397142,-2.1288264,1
-10.771143,-6.1127324,3
2.6843708,0.006461392,0
-2.501142,-2.720634,2
-4.599004,-4.360496,1
0.42209113,-1.300364,0
-1.3571056,-3.1003048,2
-7.535709,-5.3380127,3
