,0,1,2,3
B cells,8.985778,12.201625,9.491509,11.62921
CD4 T cells,9.524399,6.731144,5.9951663,6.3258524
CD8 T cells,2.571219,1.5982381,2.4366026,1.0315984
DC,1.170885,0.79846424,1.4254701,0.47170705
Endo,0.9480866,0.79838383,1.2054796,0.5495642
FDC,0.60602885,1.2043846,0.279703,1.217186
ILC,0.39378083,0.35206988,0.5795297,0.16547678
Macrophages,1.9106572,1.8194628,2.1190288,1.3462795
Mast,0.39556667,0.22454055,0.67708904,0.06834961
Monocytes,0.5054387,0.40347746,0.77156824,0.25511098
NK,1.144841,0.8887357,1.7901647,0.404407
NKT,1.0541532,0.7370199,1.6749032,0.3487934
T TIM,2.1739256,2.7095003,1.442803,1.6770399
T TfR,5.326321,4.4041142,6.893283,2.920551
T Treg,1.0657214,0.6390154,0.91759896,0.36617067
VSMC,0.79984957,0.66428137,0.9577977,0.4969536
