umap_1,umap_2,subcluster
12.494363,-5.224066,2
15.806067,-6.6101127,2
14.591511,-5.622599,2
12.929121,-12.926569,1
8.582393,-16.319603,3
15.48567,-6.466848,2
15.420635,-8.521071,0
11.442501,-11.59203,1
12.883606,-4.2477045,2
13.846646,-6.0639744,2
14.287927,-5.9649158,2
13.580422,-11.52907,1
5.664894,-15.483559,3
16.131956,-12.151098,0
10.881978,-16.19327,3
8.598408,-16.117073,3
15.4602375,-7.519242,2
11.911559,-13.710651,1
11.003465,-16.080248,3
14.0996685,-7.2631426,2
13.101488,-8.79217,0
10.748746,-15.552243,3
13.208374,-10.048776,0
15.499199,-8.759054,0
16.273365,-11.5798,0
5.1530733,-14.612673,3
13.755159,-4.7741385,2
13.385556,-10.293419,0
15.6647215,-9.976339,0
13.951495,-7.310634,2
14.385206,-11.766599,1
14.23527,-7.944076,2
12.225673,-5.358341,2
14.439016,-6.1248045,2
14.668253,-13.445892,1
9.542151,-15.836287,3
13.601354,-4.401248,2
15.551307,-8.938409,0
8.527174,-15.674953,3
15.337909,-6.7356186,2
16.10804,-10.513652,0
16.270086,-9.825584,0
16.338339,-7.5556564,0
11.901306,-9.844589,0
16.318544,-8.14907,0
13.290047,-4.635052,2
10.664116,-13.779865,3
10.330752,-15.900838,3
13.90627,-7.9413958,2
13.648254,-11.20939,1
14.316155,-10.312297,0
15.174137,-8.390135,0
15.780006,-10.8763895,0
14.965494,-13.859025,1
13.494113,-5.72904,2
7.977397,-15.221951,3
15.085382,-11.435316,0
16.841398,-8.864062,0
15.952165,-8.478114,0
15.5169935,-7.931559,0
12.653341,-4.1692753,2
12.739546,-11.852909,1
14.937819,-8.182649,2
12.330679,-12.572988,1
12.86776,-8.366199,0
14.425261,-6.393345,2
12.910284,-7.8343706,2
14.180172,-6.365045,2
9.730424,-14.998403,3
14.885569,-5.760466,2
16.098494,-8.292495,0
14.615462,-5.3218246,2
13.88772,-14.066656,1
14.314565,-13.049091,1
12.819182,-4.1718807,2
10.067681,-14.580032,3
13.8818865,-12.51377,1
10.259885,-15.037976,3
16.50189,-9.169159,0
14.294036,-8.906346,0
