scene_index,scene,group,n_spots,mean_marker_percentile,median_marker_percentile,q25_marker_percentile,q75_marker_percentile
1,Mouse embryo: Endoderm/Gut,Marker-defined target region,965,0.925085483369599,0.9250854833695991,0.8876282250543985,0.9625427416847995
1,Mouse embryo: Endoderm/Gut,Stage3B blank region,832,0.8275498179742234,0.932312713708424,0.8964485545539322,0.9660009325458502
2,Mouse embryo: Erythroid,Marker-defined target region,965,0.925085483369599,0.9250854833695991,0.8876282250543985,0.9625427416847995
2,Mouse embryo: Erythroid,Stage3B blank region,812,0.8425501989890529,0.9316910164749768,0.8964485545539322,0.9656900839291265
3,BRCA TNBC: Plasma cells,Marker-defined target region,182,0.9252683732452519,0.9252683732452518,0.8879025598678778,0.9626341866226259
3,BRCA TNBC: Plasma cells,Stage3B blank region,97,0.9401619178152162,0.9512799339388934,0.9108175061932288,0.9752270850536746
4,CRC: B cells,Marker-defined target region,471,0.9251115360101976,0.9251115360101976,0.8876673040152964,0.9625557680050988
4,CRC: B cells,Stage3B blank region,298,0.8463904252270287,0.9469407265774379,0.8770713830465264,0.9757010834926705
5,BRCA HER2 FFPE: Plasma cells,Marker-defined target region,378,0.9251389992057187,0.9251389992057188,0.8877084988085783,0.9625694996028594
5,BRCA HER2 FFPE: Plasma cells,Stage3B blank region,337,0.8776583082518037,0.9058776806989675,0.8228752978554408,0.9586973788721207
6,BRCA HER2 FFPE: Epithelial cells,Marker-defined target region,378,0.9251389992057187,0.9251389992057188,0.8877084988085783,0.9625694996028594
6,BRCA HER2 FFPE: Epithelial cells,Stage3B blank region,204,0.8967434471803017,0.92077045274027,0.8641779189833201,0.9635623510722796
